symbol,population,count,losers,winners,avg_pnl,total_pnl,fwd_24bar_short_return_avg,fwd_24bar_short_return_median,fwd_24bar_mfe_atr_avg,fwd_24bar_mfe_atr_median,fwd_24bar_mae_atr_avg,fwd_24bar_mae_atr_median,mfe_minus_mae_atr_avg,mfe_minus_mae_atr_median,mae_to_mfe_ratio_avg,mae_to_mfe_ratio_median,entry_exec_distance_atr_avg,entry_exec_distance_atr_median,entry_short_ema20_gap_atr_avg,entry_short_ema20_gap_atr_median,entry_atr_ratio_avg,entry_atr_ratio_median,entry_adx_avg,entry_adx_median,entry_plus_di_avg,entry_plus_di_median,entry_minus_di_avg,entry_minus_di_median,entry_di_spread_avg,entry_di_spread_median,executed_count,blocked_count
FILUSDT,executed_short1_followthrough,6,2.0,4.0,152.96531313555946,917.7918788133567,0.05540003348555406,0.03344838777586763,4.483571615973689,3.182914857912295,0.5996891765440567,0.5080913530780199,3.8838824394296325,2.4307836220133625,0.25366159694725293,0.16822068823408226,1.0232641256199513,1.1633180951486892,0.3921946162525696,0.3581774630913209,1.0563452345812767,1.0232066319313253,24.682970871658483,22.65020244811777,15.63756234709354,15.246008053733767,25.80537717675823,24.976154446034553,-10.16781482966469,-7.117402390562001,,
FILUSDT,executed_short1_adverse,17,14.0,3.0,-70.33518983806869,-1195.6982272471678,-0.04257727856136137,-0.03935768261964735,1.3019996206813278,1.2793561366573258,3.618910615163931,2.8918685573137983,-2.3169109944826034,-2.019468717345356,9.61076573536514,2.911564625850335,1.2825670887861362,1.3623866462377374,0.3859457797762249,0.36632587950413825,1.006080389906146,0.9930399425832434,26.29270654662889,24.053147589524194,17.53454593086781,18.25883420949552,25.530756668706918,25.78938067365388,-7.9962107378391085,-8.428248203363959,,
FILUSDT,starter_short_followthrough,21,,,,,0.0844672280253026,0.0666387259010898,5.298585931646947,4.839952274894945,0.7959738752862897,0.5436875793917355,4.5026120563606575,3.453280717121155,0.20317289823370674,0.1315789473684203,1.1058412697463909,1.1397483650377729,0.5150742679232289,0.48047913411728155,1.027631950178682,1.0106752214497798,21.805555093281207,20.97637907023977,16.1378372927199,16.093456922462302,23.638992276638476,23.091398147540488,-7.501154983918579,-7.347977091119894,6.0,15.0
FILUSDT,starter_short_adverse,53,,,,,-0.04903818612036633,-0.04738154613466324,1.1710038719425329,0.8401545746088928,3.994782713832036,3.495511017394994,-2.8237788418895033,-2.7725294932723936,13.355477515369062,4.066666666666666,1.2412764826713638,1.2688312047610635,0.42023823391343507,0.43285907703086407,1.0255318304668344,1.0142420266282461,25.697949681318338,24.053147589524194,17.065720633512107,16.906876389595755,23.820180944982855,24.19280995680282,-6.7544603114707416,-6.649490741943474,17.0,36.0
DOTUSDT,executed_short1_followthrough,11,3.0,8.0,44.71600064756888,491.8760071232577,0.044437032409101976,0.040268456375838965,4.940120519695055,4.537105822765322,1.1677794008947087,1.3344480146908742,3.7723411188003455,3.8459262763339708,0.2949202683484709,0.30230125523012513,1.2738918274933873,1.378357564692374,0.47780359677890716,0.5289844243440407,1.0161411271384682,0.992031357797214,27.460444802234875,28.617524001727283,16.261610097458114,17.063390612785767,24.40095192372529,24.223820912384078,-8.139341826267177,-8.769043803506323,,
DOTUSDT,executed_short1_adverse,7,4.0,3.0,22.200108078756468,155.40075655129527,-0.08377115191696693,-0.048671039005868146,1.9274721929625966,1.9850000312523073,5.334129960573904,2.16086566808962,-3.406657767611307,-0.708339191292449,8.157729742630591,1.2711370262390698,1.1864554630404072,1.3181685113088903,0.4201930017655974,0.47142679750931027,1.0380838948727735,0.9809318948849716,28.701368376970333,28.807502683092068,15.574129701345283,16.3504103396176,23.583983106828814,23.209252836748092,-8.00985340548353,-9.518419914974352,,
DOTUSDT,starter_short_followthrough,33,,,,,0.06941078232769796,0.053381393752145546,5.370997035271418,5.731331397982643,0.8557540854612162,0.6823660940309239,4.515242949810201,4.477440545508138,0.23413112319789156,0.13496932515337295,1.2477548205100786,1.2609098633139768,0.42899392764718103,0.39843953265815474,1.0039353389644248,0.988300319741404,27.605283306631474,28.46225867195,15.921618470622581,16.415289004275376,25.284904977205933,24.703290412868427,-9.363286506583352,-8.769043803506323,11.0,22.0
DOTUSDT,starter_short_adverse,30,,,,,-0.0503410374640334,-0.0425205332578087,1.6500756522890438,1.232265129701041,4.213766584691836,3.4446218620852145,-2.5636909324027926,-1.796857131850445,7.357954362160693,2.3146157121566953,1.2724429195087261,1.337119165327215,0.3917115073130334,0.34045061888691563,1.0142290829145821,0.9846698438495396,27.30051212658783,26.324071418638297,16.788396948861816,16.558742645515714,23.814176189521678,23.252984369951164,-7.025779240659864,-5.897049262910008,7.0,23.0
ATOMUSDT,executed_short1_followthrough,7,3.0,4.0,32.76833916668521,229.37837416679645,0.04747289290381185,0.02661955241460552,3.550783528237769,3.7615635135022467,1.173987163011698,1.0235669386166442,2.3767963652260704,2.344446743121522,0.40471394916806297,0.3940886699507365,1.2044182351280017,1.2241203537194014,0.42679882464716556,0.4359324534918558,0.9830612144587406,0.9967718118612674,25.489105770130738,23.195900590355357,17.133383112226813,16.962957853908218,25.669374620250856,26.070893888317606,-8.535991508024049,-9.405417968491445,,
ATOMUSDT,executed_short1_adverse,11,8.0,3.0,13.89223314134045,152.81456455474495,-0.07383641541862436,-0.07025986525505311,1.7049306492955032,1.7097919461570552,5.713950810528674,4.6612001946795445,-4.00902016123317,-3.233789354312794,8.431396327528219,3.199115044247787,1.2492155889761445,1.3423510035833954,0.3943815980338154,0.4133522203182608,0.9864355508028332,0.9797010268719439,27.770691377614096,28.25939517654994,15.474697163395179,15.774880613336467,22.068449632176932,21.613286153193595,-6.593752468781761,-7.094647946722997,,
ATOMUSDT,starter_short_followthrough,18,,,,,0.04024561410045016,0.0313907311093136,3.904517685698426,3.802857855245848,1.2876273024559313,0.932889966047037,2.616890383242495,3.047857049523534,0.3822473681115224,0.319450973979517,1.2321782464807038,1.2442738825152597,0.4302468616270365,0.4420513341893152,1.0054632283614038,0.9909053714824798,27.999720906591993,25.217200264942257,15.985128520918131,15.304449909350598,27.294354483062243,25.651007481922043,-11.309225962144115,-10.592561949746758,7.0,11.0
