scope,candidate,family,trade_count,net_pnl,profit_factor,max_dd_pct,win_rate,avg_trade,median_trade,gross_profit,gross_loss,fees,avg_hold_bars,median_hold_bars,stop_loss_count,take_profit_count,time_stop_count,ema_touch_count
holdout,K_liquidation_wick_bounce,majors,93,127.448664,1.119848,0.271809,52.688172,1.370416,6.524716,1190.867438,1063.418774,93.110279,3.83871,3.0,40,15,18,20
holdout,K_liquidation_wick_bounce,meme_high_beta,27,-132.60943,0.765275,0.279076,48.148148,-4.91146,-9.569748,432.347246,564.956676,26.947169,4.444444,4.0,12,3,7,5
holdout,K_liquidation_wick_bounce,other,169,117.370845,1.046856,0.676761,44.970414,0.694502,-7.421616,2622.291827,2504.920982,169.143257,3.863905,3.0,82,21,21,45
holdout,L_breakout_failure_reversal,defi,183,118.893061,1.098055,0.134642,52.459016,0.649689,0.690771,1331.40616,1212.513099,182.849129,1.142077,1.0,17,8,0,0
holdout,L_breakout_failure_reversal,large_alts,982,-696.913191,0.880822,0.943534,47.046843,-0.709688,-0.944666,5150.735415,5847.648606,981.857528,1.090631,1.0,94,44,0,0
holdout,L_breakout_failure_reversal,majors,288,-33.255989,0.9688,0.204014,48.263889,-0.115472,-0.223473,1032.640435,1065.896425,287.872692,1.131944,1.0,21,15,2,0
holdout,L_breakout_failure_reversal,meme_high_beta,110,-183.777377,0.797153,0.378974,45.454545,-1.670703,-2.329746,722.214672,905.992049,110.03687,1.054545,1.0,14,3,0,0
holdout,L_breakout_failure_reversal,other,680,160.538034,1.040762,0.560154,47.205882,0.236085,-0.340797,4099.007915,3938.469881,679.579941,1.126471,1.0,59,30,3,0
later_fetched,C_volatility_compression_breakout_v2,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,C_volatility_compression_breakout_v2,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,C_volatility_compression_breakout_v2,majors,2,-21.761822,0.0,0.010795,0.0,-10.880911,-10.880911,0.0,21.761822,1.990114,1.0,1.0,2,0,0,0
later_fetched,C_volatility_compression_breakout_v2,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,C_volatility_compression_breakout_v2,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,D_volatility_expansion_continuation,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,D_volatility_expansion_continuation,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,D_volatility_expansion_continuation,majors,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,D_volatility_expansion_continuation,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,D_volatility_expansion_continuation,other,2,-45.478828,0.0,0.008476,0.0,-22.739414,-22.739414,0.0,45.478828,1.97825,1.0,1.0,1,0,0,0
later_fetched,E_true_mean_reversion_v2,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,E_true_mean_reversion_v2,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,E_true_mean_reversion_v2,majors,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,E_true_mean_reversion_v2,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,E_true_mean_reversion_v2,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,F_relative_strength_rotation,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,F_relative_strength_rotation,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,F_relative_strength_rotation,majors,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,F_relative_strength_rotation,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,F_relative_strength_rotation,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,H_market_family_framework_v2,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,H_market_family_framework_v2,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,H_market_family_framework_v2,majors,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,H_market_family_framework_v2,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,H_market_family_framework_v2,other,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,I_defensive_short_only,defi,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,I_defensive_short_only,large_alts,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,I_defensive_short_only,majors,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
later_fetched,I_defensive_short_only,meme_high_beta,0,0.0,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0
