field,display_field,symbol,contradiction_class,executed_supports,starter_supports,executed_delta_clean_minus_adverse,starter_delta_clean_minus_adverse,executed_clean_count,executed_adverse_dominant_count,starter_clean_count,starter_adverse_dominant_count,sample_too_small_to_interpret
entry_atr_ratio,entry_atr_ratio,ADAUSDT,executed_contradiction,False,True,0.0039171122047572116,-0.03570097705788,6,5,10,22,False
entry_atr_ratio,entry_atr_ratio,XRPUSDT,starter_contradiction,True,False,-0.05062508087069517,0.02258098964619859,5,6,15,15,False
entry_atr_ratio,entry_atr_ratio,DOGEUSDT,starter_contradiction,True,False,-0.02061157616185516,0.009143210922586409,3,8,18,30,False
entry_atr_ratio,entry_atr_ratio,NEARUSDT,both_contradict,False,False,0.018888506397883198,0.01161466769781927,7,2,15,10,True
entry_atr_ratio,entry_atr_ratio,AAVEUSDT,too_small_sample,True,True,-0.0517753754978445,-0.06855348411193118,2,6,7,13,True
entry_exec_distance_atr,entry_exec_distance_atr,DOTUSDT,both_contradict,False,False,0.1888001588348298,0.016070970533300866,11,4,33,19,False
entry_exec_distance_atr,entry_exec_distance_atr,ATOMUSDT,executed_contradiction,False,True,0.04987230513568486,-0.017604520168319038,7,7,18,25,False
entry_exec_distance_atr,entry_exec_distance_atr,ADAUSDT,starter_contradiction,True,False,-0.1389236050068725,0.0537581888458325,6,5,10,22,False
entry_exec_distance_atr,entry_exec_distance_atr,XRPUSDT,starter_contradiction,True,False,-0.241538870951981,0.08653490791075158,5,6,15,15,False
entry_exec_distance_atr,entry_exec_distance_atr,LTCUSDT,starter_contradiction,True,False,-0.22580991928319127,0.038890360062544316,3,7,9,19,False
entry_exec_distance_atr,entry_exec_distance_atr,NEARUSDT,starter_contradiction,True,False,-0.25245559181874855,0.20195960768203758,7,2,15,10,True
entry_exec_distance_atr,entry_exec_distance_atr,ETCUSDT,starter_contradiction,True,False,-0.17667995669192504,0.01837167045478849,4,5,11,15,False
entry_exec_distance_atr,entry_exec_distance_atr,AAVEUSDT,too_small_sample,True,True,-0.4713732879837147,-0.23116361978836242,2,6,7,13,True
entry_short_resumption,entry_short_resumption,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_short_resumption,entry_short_resumption,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_short_resumption,entry_short_resumption,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_short_resumption,entry_short_resumption,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_short_resumption,entry_short_resumption,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
entry_short_resumption,entry_short_resumption,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_short_resumption,entry_short_resumption,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_short_resumption,entry_short_resumption,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_short_resumption,entry_short_resumption,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_short_resumption,entry_short_resumption,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_short_resumption,entry_short_resumption,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
entry_short_pullback,entry_short_pullback,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_short_pullback,entry_short_pullback,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_short_pullback,entry_short_pullback,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_short_pullback,entry_short_pullback,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_short_pullback,entry_short_pullback,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
entry_short_pullback,entry_short_pullback,XRPUSDT,both_contradict,False,False,0.0,0.0,5,6,15,15,False
entry_short_pullback,entry_short_pullback,LTCUSDT,both_contradict,False,False,0.0,0.0,3,7,9,19,False
entry_short_pullback,entry_short_pullback,DOGEUSDT,both_contradict,False,False,0.0,0.0,3,8,18,30,False
entry_short_pullback,entry_short_pullback,NEARUSDT,both_contradict,False,False,0.0,0.0,7,2,15,10,True
entry_short_pullback,entry_short_pullback,ETCUSDT,both_contradict,False,False,0.0,0.0,4,5,11,15,False
entry_short_pullback,entry_short_pullback,AAVEUSDT,both_contradict,False,False,0.0,0.0,2,6,7,13,True
entry_exec_bear_structure,entry_exec_bear_structure,FILUSDT,both_contradict,False,False,0.0,0.0,6,11,21,43,False
entry_exec_bear_structure,entry_exec_bear_structure,DOTUSDT,both_contradict,False,False,0.0,0.0,11,4,33,19,False
entry_exec_bear_structure,entry_exec_bear_structure,ATOMUSDT,both_contradict,False,False,0.0,0.0,7,7,18,25,False
entry_exec_bear_structure,entry_exec_bear_structure,UNIUSDT,both_contradict,False,False,0.0,0.0,7,5,19,16,False
entry_exec_bear_structure,entry_exec_bear_structure,ADAUSDT,both_contradict,False,False,0.0,0.0,6,5,10,22,False
