market,delta_net_pnl,delta_max_drawdown_pct,long1_only_max_drawdown_pct,long1_long2_max_drawdown_pct,Long2_total_pnl,classification,material_dd_threshold_pct_points
AAVEUSDT,-81.54713322489988,0.1451037794568455,0.4156887078779925,0.560792487334838,-7.277030635718116,pnl_worsens_dd_worsens,0.05
ADAUSDT,310.89930290268967,0.07891945477560558,0.3464428045720114,0.42536225934761696,269.30290393696947,pnl_improves_dd_worsens_materially,0.05
ATOMUSDT,-215.22496311261784,0.08674108430203331,0.4761399197592442,0.5628810040612775,-142.02930856605903,pnl_worsens_dd_worsens,0.05
AVAXUSDT,-15.395036034926306,0.03166328594701451,0.45770704000224205,0.48937032594925656,-72.61413820099958,pnl_worsens_dd_worsens,0.05
BCHUSDT,108.04937077104114,0.08932188768919769,0.8898543766205025,0.9791762643097002,-6.217127976046572,pnl_improves_dd_worsens_materially,0.05
BNBUSDT,1183.0734590342036,0.036047862795907104,0.3146038066703438,0.3506516694662509,1181.693909296226,mixed_or_neutral,0.05
BTCUSDT,76.89553589177376,0.04216439844363373,0.21584385076716117,0.2580082492107949,156.19895622846113,mixed_or_neutral,0.05
DOGEUSDT,-62.35322852336685,0.08421362171145974,0.6091892951233469,0.6934029168348066,-50.57835410837876,pnl_worsens_dd_worsens,0.05
DOTUSDT,-32.76456577533099,0.05371514092997742,0.9359411482670277,0.9896562891970051,-61.25695480646939,pnl_worsens_dd_worsens,0.05
ETCUSDT,9.434791852210765,0.045253669755263015,0.4748143713097508,0.5200680410650138,-18.191953386788576,mixed_or_neutral,0.05
ETHUSDT,728.6998401197634,-0.10782531505064696,0.3787989193283825,0.27097360427773554,636.8861067107822,pnl_improves_dd_improves_or_flat,0.05
FILUSDT,129.43062124306743,0.009495753874566581,0.11748425593941514,0.12698000981398172,123.07623658710642,mixed_or_neutral,0.05
LINKUSDT,-42.17682387291279,0.08360489484127154,0.4564726124366314,0.5400775072779029,2.096378871473428,pnl_worsens_dd_worsens,0.05
LTCUSDT,287.6969078145048,0.04141645398495486,0.1751913748771705,0.21660782886212537,104.10610760401217,mixed_or_neutral,0.05
NEARUSDT,-116.98463378642919,0.28696601926817555,0.8630248821733355,1.149990901441511,-134.12641299228846,pnl_worsens_dd_worsens,0.05
SOLUSDT,165.3260207146668,0.0893428838601551,0.5161361863134317,0.6054790701735868,41.23295184309549,pnl_improves_dd_worsens_materially,0.05
TRXUSDT,108.29046262841439,-0.008065725844752514,0.6387613367757838,0.6306956109310313,83.99122247333636,pnl_improves_dd_improves_or_flat,0.05
UNIUSDT,-117.91814741007693,0.11201561208598054,0.564405081844721,0.6764206939307016,-166.38926827443362,pnl_worsens_dd_worsens,0.05
XRPUSDT,582.3111955490167,0.10541566235170441,0.6004873346499351,0.7059029970016395,529.360277959731,pnl_improves_dd_worsens_materially,0.05
