market,timestamp,bar_index,position_side_before_manage,position_side_after_manage,runtime_close,avg_entry,atr_unscaled,runtime_price_scale,runtime_add_on_profit_distance,profit_threshold_price,runtime_in_profit,len_trades,len_trades_lt_2_pass,add_on_gap_bars_pass,all_long2_gates_passed,add_long_signal,bars_since_long1_entry,active_long_entry_timestamp,position_size
ADAUSDT,2020-07-06T20:00:00+00:00,3240,long,long,1.0512e-09,9.605e-10,0.0029326946427419755,1e-08,2.3461557141935805e-11,9.839615571419358e-10,True,1,True,True,True,True,7,2020-07-05T16:00:00+00:00,1040816181836.0
ADAUSDT,2019-06-26T00:00:00+00:00,981,long,long,1.0152e-09,9.652e-10,0.0029544023124201666,1e-08,2.3635218499361337e-11,9.888352184993613e-10,True,1,True,True,True,True,11,2019-06-24T04:00:00+00:00,1034075860967.0
ADAUSDT,2020-07-03T12:00:00+00:00,3220,long,long,9.949e-10,9.202000000000001e-10,0.003044261000871736,1e-08,2.4354088006973892e-11,9.44554088006974e-10,True,1,True,True,True,True,5,2020-07-02T16:00:00+00:00,1085945952649.0
ADAUSDT,2019-05-30T04:00:00+00:00,820,long,long,9.517000000000001e-10,8.936e-10,0.0034655496548996103,1e-08,2.7724397239196885e-11,9.213243972391969e-10,True,1,True,True,True,True,5,2019-05-29T08:00:00+00:00,1117486005552.0
ADAUSDT,2020-12-16T20:00:00+00:00,4218,long,long,1.6814000000000002e-09,1.6195999999999999e-09,0.0045174134831107975,1e-08,3.613930786488638e-11,1.6557393078648863e-09,True,1,True,True,True,True,2,2020-12-16T12:00:00+00:00,618167006634.0
ADAUSDT,2021-01-03T12:00:00+00:00,4324,long,long,1.9611e-09,1.8881999999999997e-09,0.008604814148286283,1e-08,6.883851318629027e-11,1.95703851318629e-09,True,1,True,True,True,True,1,2021-01-03T08:00:00+00:00,529745484523.0
ADAUSDT,2025-09-18T16:00:00+00:00,14639,long,long,9.3e-09,9.137999999999999e-09,0.017479090000749587,1e-08,1.3983272000599671e-10,9.277832720005995e-09,True,1,True,True,True,True,5,2025-09-17T20:00:00+00:00,110158201835.0
ADAUSDT,2021-02-05T00:00:00+00:00,4519,long,long,4.83e-09,4.3029e-09,0.021744787037104946,1e-08,1.7395829629683956e-10,4.4768582962968394e-09,True,1,True,True,True,True,4,2021-02-04T08:00:00+00:00,232465045350.0
ADAUSDT,2025-01-07T08:00:00+00:00,13113,long,long,1.1341000000000002e-08,1.0954e-08,0.029169007739578024,1e-08,2.333520619166242e-10,1.1187352061916624e-08,True,1,True,True,True,True,5,2025-01-06T12:00:00+00:00,92010386332.0
ADAUSDT,2021-03-30T08:00:00+00:00,4839,long,long,1.2304500000000001e-08,1.19403e-08,0.031422213397949206,1e-08,2.513777071835937e-10,1.2191677707183593e-08,True,1,True,True,True,True,14,2021-03-28T00:00:00+00:00,84136684117.0
ADAUSDT,2021-04-12T00:00:00+00:00,4915,long,long,1.32612e-08,1.21926e-08,0.0338578285821058,1e-08,2.708626286568464e-10,1.2463462628656848e-08,True,1,True,True,True,True,19,2021-04-08T20:00:00+00:00,41160227157.0
ADAUSDT,2021-08-13T04:00:00+00:00,5654,long,long,1.9686e-08,1.7591000000000002e-08,0.07985096116065511,1e-08,6.388076892852409e-10,1.8229807689285243e-08,True,1,True,True,True,True,3,2021-08-12T16:00:00+00:00,28531406286.0
ADAUSDT,2021-02-26T16:00:00+00:00,4649,long,long,1.26464e-08,1.1082000000000001e-08,0.08736631137138749,1e-08,6.989304909711e-10,1.1780930490971101e-08,True,1,True,True,True,True,2,2021-02-26T08:00:00+00:00,90602417320.0
ADAUSDT,2021-05-14T20:00:00+00:00,5112,long,long,2.0069e-08,1.8066e-08,0.10387184542760484,1e-08,8.309747634208388e-10,1.889697476342084e-08,True,1,True,True,True,True,9,2021-05-13T08:00:00+00:00,55564107742.0
ADAUSDT,2021-08-19T16:00:00+00:00,5693,long,long,2.395e-08,2.1043e-08,0.10486131623422934,1e-08,8.388905298738348e-10,2.1881890529873833e-08,True,1,True,True,True,True,5,2021-08-18T20:00:00+00:00,47735841667.0
ADAUSDT,2021-08-27T20:00:00+00:00,5742,long,long,2.9460000000000004e-08,2.7160000000000003e-08,0.12411759736420351,1e-08,9.929407789136282e-10,2.8152940778913633e-08,True,1,True,True,True,True,3,2021-08-27T08:00:00+00:00,37082761724.0
ADAUSDT,2020-07-01T16:00:00+00:00,3209,long,long,9.208e-10,8.689014865369714e-10,0.0021171643814493486,1e-08,1.693731505159479e-11,8.858388015885662e-10,True,2,False,False,False,True,7,2020-06-30T12:00:00+00:00,1146388095110.0
ADAUSDT,2020-07-07T12:00:00+00:00,3244,long,long,1.1216e-09,1.00370253218196e-09,0.0033124844255350257,1e-08,2.649987540428021e-11,1.0302024075862402e-09,True,2,False,True,False,True,11,2020-07-05T16:00:00+00:00,993758531025.0
ADAUSDT,2020-07-07T20:00:00+00:00,3246,long,long,1.1764e-09,1.00370253218196e-09,0.0036054585097725486,1e-08,2.8843668078180392e-11,1.0325462002601404e-09,True,2,False,True,False,True,13,2020-07-05T16:00:00+00:00,993758531025.0
ATOMUSDT,2021-01-04T00:00:00+00:00,3614,long,long,6.103e-08,5.829e-08,0.29834363378771367,1e-08,2.3867490703017096e-09,6.067674907030171e-08,True,1,True,True,True,True,1,2021-01-03T20:00:00+00:00,17134716897.0
ATOMUSDT,2021-01-10T04:00:00+00:00,3651,long,long,6.88e-08,6.533e-08,0.3685250315982484,1e-08,2.9482002527859876e-09,6.8278200252786e-08,True,1,True,True,True,True,7,2021-01-09T00:00:00+00:00,15273429663.0
ATOMUSDT,2021-02-05T08:00:00+00:00,3808,long,long,9.875999999999999e-08,9.222e-08,0.39319681845155496,1e-08,3.1455745476124397e-09,9.536557454761244e-08,True,1,True,True,True,True,4,2021-02-04T16:00:00+00:00,10796635297.0
ATOMUSDT,2021-02-01T20:00:00+00:00,3787,long,long,9.289999999999999e-08,8.324e-08,0.43851792297388553,1e-08,3.508143383791085e-09,8.674814338379108e-08,True,1,True,True,True,True,2,2021-02-01T12:00:00+00:00,11954217925.0
ATOMUSDT,2021-08-14T04:00:00+00:00,4947,long,long,1.5761e-07,1.4698e-07,0.5512348250914483,1e-08,4.409878600731586e-09,1.5138987860073158e-07,True,1,True,True,True,True,6,2021-08-13T04:00:00+00:00,6788821287.0
ATOMUSDT,2021-08-16T08:00:00+00:00,4960,long,long,1.6484e-07,1.5560000000000002e-07,0.5713741154409175,1e-08,4.5709929235273404e-09,1.6017099292352736e-07,True,1,True,True,True,True,9,2021-08-14T20:00:00+00:00,6411288735.0
ATOMUSDT,2021-04-03T00:00:00+00:00,4148,long,long,2.0981000000000002e-07,1.9587e-07,0.7157425846702477,1e-08,5.725940677361981e-09,2.0159594067736197e-07,True,1,True,True,True,True,5,2021-04-02T04:00:00+00:00,5095727685.0
ATOMUSDT,2021-08-17T08:00:00+00:00,4966,long,long,1.7094999999999998e-07,1.6191e-07,0.7472975998490823,1e-08,5.978380798792658e-09,1.6788838079879265e-07,True,1,True,True,True,True,2,2021-08-17T00:00:00+00:00,6160350870.0
ATOMUSDT,2021-04-06T08:00:00+00:00,4168,long,long,2.2458e-07,2.0594e-07,0.9761582242207927,1e-08,7.809265793766343e-09,2.1374926579376635e-07,True,1,True,True,True,True,14,2021-04-04T00:00:00+00:00,2424753861.0
ATOMUSDT,2021-03-18T08:00:00+00:00,4054,long,long,2.2517e-07,2.03e-07,1.002773855910937,1e-08,8.022190847287496e-09,2.110221908472875e-07,True,1,True,True,True,True,5,2021-03-17T12:00:00+00:00,2458500134.0
ATOMUSDT,2021-02-11T16:00:00+00:00,3846,long,long,1.7821e-07,1.4737e-07,1.0034153250496936,1e-08,8.027322600397548e-09,1.5539732260039755e-07,True,1,True,True,True,True,6,2021-02-10T16:00:00+00:00,3386412111.0
ATOMUSDT,2021-08-18T20:00:00+00:00,4975,long,long,1.7948000000000002e-07,1.7085000000000002e-07,1.0365091821743584,1e-08,8.292073457394867e-09,1.7914207345739488e-07,True,1,True,True,True,True,1,2021-08-18T16:00:00+00:00,5838867343.0
ATOMUSDT,2021-10-23T12:00:00+00:00,5369,long,long,3.679e-07,3.523e-07,1.1444016434505948,1e-08,9.155213147604759e-09,3.6145521314760476e-07,True,1,True,True,True,True,9,2021-10-22T00:00:00+00:00,2840718862.0
ATOMUSDT,2021-08-31T04:00:00+00:00,5049,long,long,2.4280000000000003e-07,2.293e-07,1.3169832734626492,1e-08,1.0535866187701195e-08,2.3983586618770117e-07,True,1,True,True,True,True,3,2021-08-30T16:00:00+00:00,4361246141.0
ATOMUSDT,2021-04-14T20:00:00+00:00,4219,long,long,2.7068000000000004e-07,2.4095e-07,1.382221545991158,1e-08,1.1057772367929264e-08,2.5200777236792926e-07,True,1,True,True,True,True,1,2021-04-14T16:00:00+00:00,4145565572.0
ATOMUSDT,2021-09-18T12:00:00+00:00,5159,long,long,3.93e-07,3.596e-07,2.3753478119575626,1e-08,1.90027824956605e-08,3.7860278249566054e-07,True,1,True,True,True,True,2,2021-09-18T04:00:00+00:00,2781251886.0
ATOMUSDT,2021-09-16T20:00:00+00:00,5149,long,long,3.707e-07,3.42e-07,2.456850856137871,1e-08,1.9654806849102967e-08,3.6165480684910297e-07,True,1,True,True,True,True,12,2021-09-14T20:00:00+00:00,2927287949.0
ATOMUSDT,2021-02-05T12:00:00+00:00,3809,long,long,1.0223000000000001e-07,9.53704085560419e-08,0.42032561713358674,1e-08,3.362604937068694e-09,9.873301349311059e-08,True,2,False,False,False,True,5,2021-02-04T16:00:00+00:00,10415708798.0
ATOMUSDT,2021-02-05T16:00:00+00:00,3810,long,long,1.1996e-07,9.53704085560419e-08,0.5812309301954734,1e-08,4.649847441563788e-09,1.0002025599760568e-07,True,2,False,False,False,True,6,2021-02-04T16:00:00+00:00,10415708798.0
ATOMUSDT,2021-04-03T04:00:00+00:00,4149,long,long,2.1651e-07,2.025842756435695e-07,0.7399038286223729,1e-08,5.919230628978983e-09,2.0850350627254847e-07,True,2,False,False,False,True,6,2021-04-02T04:00:00+00:00,4915385672.0
AVAXUSDT,2021-08-17T08:00:00+00:00,1904,long,long,2.4169e-07,1.9996e-07,1.3171064068235847,1e-08,1.0536851254588677e-08,2.1049685125458867e-07,True,1,True,True,True,True,2,2021-08-17T00:00:00+00:00,4997540305.0
AVAXUSDT,2021-04-12T16:00:00+00:00,1144,long,long,3.46e-07,3.28303e-07,1.4159824071726217,1e-08,1.1327859257380975e-08,3.39630859257381e-07,True,1,True,True,True,True,4,2021-04-12T00:00:00+00:00,3042252384.0
AVAXUSDT,2024-11-29T20:00:00+00:00,9107,long,long,4.486e-07,4.272e-07,1.5154535004089413,1e-08,1.2123628003271531e-08,4.3932362800327153e-07,True,1,True,True,True,True,18,2024-11-26T20:00:00+00:00,2338775462.0
