row_seq,inst_id,trade_id,ts,ts_utc,px,sz,side,page_seq,raw_path
19,BTC-USDT-SWAP,2624693714,1779790367127,2026-05-26T10:12:47.127000+00:00,76648,0.08,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
20,BTC-USDT-SWAP,2624693713,1779790367127,2026-05-26T10:12:47.127000+00:00,76648,0.01,buy,2500,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_002500_3a6631d122ed.json
21,BTC-USDT-SWAP,2625003396,1779796795892,2026-05-26T11:59:55.892000+00:00,77155.3,0.9,sell,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
22,BTC-USDT-SWAP,2625003397,1779796796513,2026-05-26T11:59:56.513000+00:00,77155.4,2.91,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
23,BTC-USDT-SWAP,2625003406,1779796796811,2026-05-26T11:59:56.811000+00:00,77155.4,46.2,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
24,BTC-USDT-SWAP,2625003405,1779796796811,2026-05-26T11:59:56.811000+00:00,77155.4,0.63,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
25,BTC-USDT-SWAP,2625003404,1779796796811,2026-05-26T11:59:56.811000+00:00,77155.4,0.01,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
26,BTC-USDT-SWAP,2625003403,1779796796811,2026-05-26T11:59:56.811000+00:00,77155.4,12.97,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
27,BTC-USDT-SWAP,2625003402,1779796796811,2026-05-26T11:59:56.811000+00:00,77155.4,41.82,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
28,BTC-USDT-SWAP,2625003401,1779796796811,2026-05-26T11:59:56.811000+00:00,77155.4,0.01,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
29,BTC-USDT-SWAP,2625003400,1779796796811,2026-05-26T11:59:56.811000+00:00,77155.4,0.01,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
30,BTC-USDT-SWAP,2625003399,1779796796811,2026-05-26T11:59:56.811000+00:00,77155.4,0.01,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
31,BTC-USDT-SWAP,2625003398,1779796796811,2026-05-26T11:59:56.811000+00:00,77155.4,48.34,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
32,BTC-USDT-SWAP,2625003407,1779796797120,2026-05-26T11:59:57.120000+00:00,77155.3,0.08,sell,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
33,BTC-USDT-SWAP,2625003413,1779796798153,2026-05-26T11:59:58.153000+00:00,77155.3,2.98,sell,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
34,BTC-USDT-SWAP,2625003412,1779796798153,2026-05-26T11:59:58.153000+00:00,77155.3,0.01,sell,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
35,BTC-USDT-SWAP,2625003411,1779796798153,2026-05-26T11:59:58.153000+00:00,77155.3,0.01,sell,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
36,BTC-USDT-SWAP,2625003410,1779796798153,2026-05-26T11:59:58.153000+00:00,77155.3,1.48,sell,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
37,BTC-USDT-SWAP,2625003409,1779796798153,2026-05-26T11:59:58.153000+00:00,77155.3,4.44,sell,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
38,BTC-USDT-SWAP,2625003408,1779796798153,2026-05-26T11:59:58.153000+00:00,77155.3,1.08,sell,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
39,BTC-USDT-SWAP,2625003414,1779796799252,2026-05-26T11:59:59.252000+00:00,77155.4,25,buy,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
40,BTC-USDT-SWAP,2625003415,1779796799398,2026-05-26T11:59:59.398000+00:00,77155.3,1.2,sell,1,research_output/cp1_4h_btc_public_trade_reconstruction_pilot_round1_raw/CP1/BTC-USDT-SWAP/20260526T080000Z_20260526T120000Z/page_000001_ed948c0fd081.json
