market,trade_tag,side,entry_timestamp,exit_timestamp,entry_bar,exit_bar,duration_bars,entry_price,exit_price,pnl,return_pct,exit_mechanism_label,exit_mechanism_detail,exact_close_event,matched_event_bar,matched_event_timestamp,tp1_occurred,tp2_occurred,trailing_stop_occurred,stop_assignment_occurred,stop_hit_occurred_proxy,trend_fail_occurred,add_on_interaction_occurred,add_on_entry_before_exit,latest_stop_kind,latest_stop_price,exit_to_stop_distance_pct,classification_confidence,notes
DOTUSDT,Long1,long,2020-11-16 12:00:00+00:00,2020-11-17 04:00:00+00:00,471,475,4.0,4.522,4.788,29.384256662459986,0.05882352941176472,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,475,2020-11-17 04:00:00+00:00,True,False,True,True,False,False,True,True,long_trailing_stop,4.6282693353430985e-08,103451195.39942175,exact,Research-only instrumentation; explicit strategy close event matched.
DOTUSDT,Long2,long,2020-11-17 04:00:00+00:00,2020-11-18 04:00:00+00:00,475,481,6.0,4.788,4.661950400752029,-13.088809721539691,-0.026326148548030726,stop_hit_proxy:long_breakeven_floor_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,480,2020-11-18 00:00:00+00:00,False,False,False,True,True,False,True,False,long_breakeven_floor_stop,4.661950400752029e-08,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2020-11-16 12:00:00+00:00,2020-11-18 04:00:00+00:00,471,481,10.0,4.522,4.661950400752029,15.459919156811102,0.030948783890320408,stop_hit_proxy:long_breakeven_floor_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,480,2020-11-18 00:00:00+00:00,True,False,False,True,True,False,True,True,long_breakeven_floor_stop,4.661950400752029e-08,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2020-11-22 12:00:00+00:00,2020-11-23 12:00:00+00:00,507,513,6.0,5.4357,5.7141,25.592271154272,0.051216954578067186,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,513,2020-11-23 12:00:00+00:00,True,False,False,True,False,False,False,False,long_breakeven_floor_stop,5.453412788945067e-08,104780257.18224116,exact,Research-only instrumentation; explicit strategy close event matched.
DOTUSDT,Long1,long,2020-11-22 12:00:00+00:00,2020-11-25 00:00:00+00:00,507,522,15.0,5.4357,5.513249143606637,7.128802841101425,0.014266634215765572,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,521,2020-11-24 20:00:00+00:00,True,False,True,True,True,False,False,False,long_trailing_stop,5.513249143606637e-08,99999998.99999999,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2020-12-02 08:00:00+00:00,2020-12-03 12:00:00+00:00,566,573,7.0,5.2644,5.5073,23.06277015995395,0.046140110933819534,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,573,2020-12-03 12:00:00+00:00,True,False,False,True,False,False,False,False,long_breakeven_floor_stop,5.2791650303357255e-08,104321420.44360594,exact,Research-only instrumentation; explicit strategy close event matched.
DOTUSDT,Long1,long,2020-12-02 08:00:00+00:00,2020-12-04 00:00:00+00:00,566,576,10.0,5.2644,5.2787799179935595,1.3653385902408728,0.0027315397753893134,stop_hit_proxy:long_breakeven_floor_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,575,2020-12-03 20:00:00+00:00,True,False,False,True,True,False,False,False,long_breakeven_floor_stop,5.2787799179935594e-08,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2020-12-18 00:00:00+00:00,2020-12-20 04:00:00+00:00,660,673,13.0,5.4091,5.247494470978146,-29.874163392037932,-0.029876602211431402,stop_hit_proxy:long_trailing_stop,latest trade.sl assignment before unmatched close; broker stop reason not exported,False,672,2020-12-20 00:00:00+00:00,False,False,True,True,True,False,False,False,long_trailing_stop,5.247494470978146e-08,99999999.0,proxy,Research-only instrumentation; stop-hit labels are proxies where broker reason is unavailable.
DOTUSDT,Long1,long,2020-12-21 04:00:00+00:00,2020-12-21 08:00:00+00:00,679,680,1.0,5.359,4.8857,-88.284252478726,-0.08831871617839149,long_trend_fail_close,position.close(),True,680,2020-12-21 08:00:00+00:00,False,False,False,True,False,True,False,False,long_base_stop,5.082482429941404e-08,96128221.13054511,exact,Research-only instrumentation; explicit strategy close event matched.
DOTUSDT,Long1,long,2021-01-02 00:00:00+00:00,2021-01-02 20:00:00+00:00,750,755,5.0,8.6502,8.686632490077411,4.2063491379164155,0.004211751182332302,long_tp1_partial_close,position.close(portion=partial_exit_pct),True,754,2021-01-02 16:00:00+00:00,True,False,False,True,False,False,True,True,long_breakeven_floor_stop,8.686632490077412e-08,99999998.99999999,exact,Research-only instrumentation; explicit strategy close event matched.
