base_population,field,display_field,bucket,count,avg,median
starter_short_signal,entry_minus_di,minus_di,unresolved_non_clean,70,23.553293189149585,22.54199393525284
starter_short_signal,entry_di_spread,di_spread,mixed_chop,29,-7.184380561139043,-7.7841572266512
starter_short_signal,entry_di_spread,di_spread,weak_followthrough,41,-6.131980248444635,-5.609057302874703
starter_short_signal,entry_di_spread,di_spread,unresolved_non_clean,70,-6.567974663703747,-6.2986790069633205
starter_short_signal,entry_short_resumption_strong,entry_short_resumption_strong,mixed_chop,29,0.5172413793103449,1.0
starter_short_signal,entry_short_resumption_strong,entry_short_resumption_strong,weak_followthrough,41,0.3902439024390244,0.0
starter_short_signal,entry_short_resumption_strong,entry_short_resumption_strong,unresolved_non_clean,70,0.44285714285714284,0.0
starter_short_signal,entry_short_resumption,entry_short_resumption,mixed_chop,29,1.0,1.0
starter_short_signal,entry_short_resumption,entry_short_resumption,weak_followthrough,41,1.0,1.0
starter_short_signal,entry_short_resumption,entry_short_resumption,unresolved_non_clean,70,1.0,1.0
starter_short_signal,entry_short_pullback,entry_short_pullback,mixed_chop,29,1.0,1.0
starter_short_signal,entry_short_pullback,entry_short_pullback,weak_followthrough,41,1.0,1.0
starter_short_signal,entry_short_pullback,entry_short_pullback,unresolved_non_clean,70,1.0,1.0
starter_short_signal,entry_exec_bear_momentum,entry_exec_bear_momentum,mixed_chop,29,1.0,1.0
starter_short_signal,entry_exec_bear_momentum,entry_exec_bear_momentum,weak_followthrough,41,1.0,1.0
starter_short_signal,entry_exec_bear_momentum,entry_exec_bear_momentum,unresolved_non_clean,70,1.0,1.0
starter_short_signal,entry_short_squeeze_risk,entry_short_squeeze_risk,mixed_chop,29,0.0,0.0
starter_short_signal,entry_short_squeeze_risk,entry_short_squeeze_risk,weak_followthrough,41,0.0,0.0
starter_short_signal,entry_short_squeeze_risk,entry_short_squeeze_risk,unresolved_non_clean,70,0.0,0.0
starter_short_signal,entry_short_squeeze_pass,entry_short_squeeze_pass,mixed_chop,29,1.0,1.0
starter_short_signal,entry_short_squeeze_pass,entry_short_squeeze_pass,weak_followthrough,41,1.0,1.0
starter_short_signal,entry_short_squeeze_pass,entry_short_squeeze_pass,unresolved_non_clean,70,1.0,1.0
starter_short_signal,entry_exec_bear_structure,entry_exec_bear_structure,mixed_chop,29,1.0,1.0
starter_short_signal,entry_exec_bear_structure,entry_exec_bear_structure,weak_followthrough,41,1.0,1.0
starter_short_signal,entry_exec_bear_structure,entry_exec_bear_structure,unresolved_non_clean,70,1.0,1.0
starter_short_signal,entry_exec_slope_down,entry_exec_slope_down,mixed_chop,29,1.0,1.0
starter_short_signal,entry_exec_slope_down,entry_exec_slope_down,weak_followthrough,41,1.0,1.0
starter_short_signal,entry_exec_slope_down,entry_exec_slope_down,unresolved_non_clean,70,1.0,1.0
