candidate,scope,market,family,total_trades,net_pnl,profit_factor,max_drawdown_pct,win_rate,avg_trade,median_trade,raw_signals,skipped_or_not_traded
C_volatility_compression_breakout,reference,AAVEUSDT,defi,46,36.47708444687002,1.0360904012611492,0.2516578314383115,41.30434782608695,0.7929800966710875,-18.542097329095746,46,0
C_volatility_compression_breakout,reference,ADAUSDT,large_alts,70,-264.9512907460266,0.8047500679716886,0.6798443662877545,32.857142857142854,-3.7850184392289514,-20.26247204218459,70,0
C_volatility_compression_breakout,reference,ATOMUSDT,other,65,-165.1846888338552,0.890321453558776,0.4345117108775941,33.84615384615385,-2.541302905136234,-20.460726746524042,65,0
C_volatility_compression_breakout,reference,AVAXUSDT,large_alts,38,222.73667327032146,1.3020798942027536,0.34640721872314584,34.21052631578947,5.861491401850564,-16.582166400261325,38,0
C_volatility_compression_breakout,reference,BCHUSDT,other,52,-316.9202167961817,0.6680127857168575,0.382432880114417,34.61538461538461,-6.094619553772725,-16.883716368484354,52,0
C_volatility_compression_breakout,reference,BNBUSDT,large_alts,79,298.43287975386426,1.258120270829517,0.3744510856278308,43.037974683544306,3.777631389289421,-8.76072742133215,79,0
C_volatility_compression_breakout,reference,BTCUSDT,majors,70,11.391737842934042,1.0128144238190016,0.32241618255787996,41.42857142857143,0.16273911204191488,-9.70242076125339,70,0
C_volatility_compression_breakout,reference,DOGEUSDT,meme_high_beta,45,194.42546554320066,1.2803599096412592,0.19213022132445057,42.22222222222222,4.320565900960014,-16.332593633483146,45,0
C_volatility_compression_breakout,reference,DOTUSDT,other,59,-141.39512947922844,0.8851929810923055,0.6242974388588323,33.89830508474576,-2.3965276182920077,-20.189522764673693,59,0
C_volatility_compression_breakout,reference,ETCUSDT,other,54,102.69608105346616,1.1103839750577433,0.3300393267690014,37.03703703703704,1.9017792787678918,-18.416735741634582,54,0
C_volatility_compression_breakout,reference,ETHUSDT,majors,78,255.39651519852623,1.2101745179561159,0.38536814682866566,43.58974358974359,3.274314297417003,-14.618635492875955,78,0
C_volatility_compression_breakout,reference,FILUSDT,other,42,270.1809027103135,1.4099370008757286,0.26147677947473574,42.857142857142854,6.432878635959845,-12.908256784204461,42,0
C_volatility_compression_breakout,reference,LINKUSDT,large_alts,73,263.9537541201524,1.1958009976696087,0.2935913592923031,42.465753424657535,3.6158048509609917,-18.549314748100468,73,0
C_volatility_compression_breakout,reference,LTCUSDT,other,66,191.71413024752033,1.1885937357454521,0.31000711596385294,48.484848484848484,2.9047595492048535,-6.236898739062687,66,0
C_volatility_compression_breakout,reference,NEARUSDT,other,34,343.2964841647332,1.4341310635773603,0.28120039518590867,44.11764705882353,10.0969554166098,-15.903146774482401,34,0
C_volatility_compression_breakout,reference,SOLUSDT,large_alts,43,137.94956141563102,1.1393860173844035,0.29250492807315787,41.86046511627907,3.208129335247233,-14.863098153927972,43,0
C_volatility_compression_breakout,reference,TRXUSDT,other,93,296.46568763940746,1.2579006627801088,0.22055372571792575,40.86021505376344,3.1878030928968544,-11.243200630666134,93,0
C_volatility_compression_breakout,reference,UNIUSDT,defi,48,-362.1060470708617,0.6521056924551675,0.5407130851508969,27.083333333333332,-7.543875980642952,-19.99045753838144,48,0
C_volatility_compression_breakout,reference,XRPUSDT,large_alts,57,62.291587295030055,1.0676022104835843,0.17767649247761294,38.59649122807017,1.0928348648250887,-17.142159624413033,57,0
C_volatility_compression_breakout,holdout,AAVEUSDT,defi,26,-78.62103444813525,0.845799049468902,0.3530357234107409,30.76923076923077,-3.023885940312894,-23.97300053500932,26,0
C_volatility_compression_breakout,holdout,ADAUSDT,large_alts,25,114.40175228587883,1.322892958519193,0.11294230413876531,44.0,4.576070091435153,-13.31934956934953,25,0
C_volatility_compression_breakout,holdout,ATOMUSDT,other,26,67.44210314527228,1.1967137428692733,0.10575260732764108,42.30769230769231,2.593927044048934,-11.258395558300421,26,0
C_volatility_compression_breakout,holdout,AVAXUSDT,large_alts,22,-51.19229173563562,0.8795592381499342,0.3843404028736913,36.36363636363637,-2.326922351619801,-18.664081009653962,22,0
