base_population,path_bucket,count,entry_short_ema20_gap_atr_avg,entry_short_ema20_gap_atr_median,entry_exec_distance_atr_avg,entry_exec_distance_atr_median,entry_adx_avg,entry_adx_median,entry_atr_ratio_avg,entry_atr_ratio_median,plus_di_avg,plus_di_median,minus_di_avg,minus_di_median,di_spread_avg,di_spread_median,entry_short_resumption_strong_avg,entry_short_resumption_strong_median,entry_exec_bear_structure_avg,entry_exec_bear_structure_median,entry_exec_slope_down_avg,entry_exec_slope_down_median,entry_exec_bear_momentum_avg,entry_exec_bear_momentum_median,entry_short_squeeze_risk_avg,entry_short_squeeze_risk_median,entry_short_squeeze_pass_avg,entry_short_squeeze_pass_median,entry_short_pullback_avg,entry_short_pullback_median,entry_short_resumption_avg,entry_short_resumption_median
executed_short1,ALL,155,0.41573379336198174,0.4004872896972984,1.1917818282289268,1.222303194023441,26.098520805177007,24.692925034904803,1.0065095265592714,0.98586350440821,16.862018894000737,17.001293320546527,23.999661189668892,23.721675148309007,-7.1376422956681544,-6.649490741943474,0.432258064516129,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
executed_short1,clean_followthrough,61,0.4424217523474931,0.4004872896972984,1.1155052253972513,1.1805437597817925,24.537588195260575,22.88069927247729,0.9970995045345176,0.9699150681152005,16.734943538080227,17.03607617983211,24.146634321207905,23.920617123661984,-7.411690783127673,-7.171451206863612,0.5081967213114754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
executed_short1,weak_followthrough,11,0.45492389934539634,0.4586767362345866,1.3601290978501135,1.41554349419843,24.95871614367587,23.60661249678235,1.0062783921042449,1.014176583048105,17.595345061703032,17.207284184933837,23.473923406068085,22.81892643375533,-5.878578344365054,-6.232355424776081,0.5454545454545454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
executed_short1,adverse_dominant,66,0.3696348867818371,0.3642909031066621,1.2206510366089676,1.3014798316741338,27.49985713481971,25.97336274651228,1.018147068919869,0.9935399575138815,16.84660697251007,16.934111451574815,23.706181590476596,23.51584596155294,-6.85957461796653,-6.028993750166391,0.2878787878787879,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
executed_short1,failed_no_followthrough,1,0.5349605371743159,0.5349605371743159,1.15431678496516,1.15431678496516,27.1019765284108,27.1019765284108,1.2253175610858529,1.2253175610858529,13.176571345723726,13.176571345723726,24.67723338978751,24.67723338978751,-11.500662044063784,-11.500662044063784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
executed_short1,mixed_chop,16,0.4697490700209479,0.49576365258822525,1.2501037092964395,1.341788965041656,26.989963742787175,25.563706405137374,0.9808637760710968,0.9793236878389466,17.13624659606871,16.957478554398897,24.969025936062806,26.75300926563195,-7.8327793399940955,-7.947767169029054,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
starter_short_signal,ALL,474,0.42104659164635505,0.40481083898447556,1.184097620632166,1.2102655580986519,25.723609725871555,24.09409110916735,1.0148987921789898,0.9926758310130737,16.55862725246886,16.5945385595493,23.631680655945477,23.45798388677377,-7.073053403476614,-6.295768897377611,0.3987341772151899,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
starter_short_signal,clean_followthrough,176,0.45540325316131375,0.43042377089060213,1.1616595331256736,1.1887572662680614,24.412010188591136,22.795826666995467,1.0107603773834755,0.9848913384500497,16.226528322624635,16.12602014144291,24.280604607212272,23.89151864401152,-8.054076284587635,-7.74878040855961,0.4659090909090909,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
starter_short_signal,weak_followthrough,41,0.41304056504812264,0.4103454802651453,1.2393913786619906,1.270285452768108,24.933520051828662,24.053147589524198,0.9941131642182681,0.9912102395121516,17.14479256728208,17.207284184933837,23.276772815726716,22.235784139208263,-6.131980248444635,-5.609057302874703,0.3902439024390244,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
starter_short_signal,adverse_dominant,227,0.39058621603881305,0.3644438836744136,1.1830802149305053,1.1944666796778214,26.76260514141158,25.30873643612044,1.0234835338132693,0.9983188430633444,16.699433765468605,16.906876389595755,23.148116578936293,23.20925283674809,-6.448682813467689,-5.745560691518122,0.3303964757709251,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
starter_short_signal,failed_no_followthrough,1,0.5349605371743159,0.5349605371743159,1.15431678496516,1.15431678496516,27.1019765284108,27.1019765284108,1.2253175610858529,1.2253175610858529,13.176571345723726,13.176571345723726,24.67723338978751,24.67723338978751,-11.500662044063784,-11.500662044063784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
starter_short_signal,mixed_chop,29,0.45835921169045407,0.4909274146620146,1.2510904224205774,1.3039567782185226,26.620329348871064,26.011318109022817,0.9949476415069829,0.9898246489366422,16.75985522491874,16.624996340570288,23.944235786057785,23.267829904562085,-7.184380561139043,-7.7841572266512,0.5172413793103449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
