case,segment,long_tp1_leg_fraction,tp1_rr,long_tp2_trail_atr_mult,net_profit,profit_factor,max_drawdown_pct,total_trades,percent_profitable,avg_trade,expectancy,lifecycle_count,lifecycle_net_profit,lifecycle_pf,lifecycle_avg_pnl,lifecycle_win_rate
case1,2025_2026,0.5,1.0,0.0,24.78020768678107,3.931722365255029,0.013699920651633057,8.0,75.0,3.0975259608490457,3.0975259608490457,4.0,24.780207686792366,3.931722365255029,6.1950519216980915,75.0
case1,full_sample,0.5,1.0,0.0,288.7889781627746,1.2110333455444215,0.24787470042579862,232.0,42.241379310344826,1.2447800782880964,1.2447800782880964,116.0,288.7889781628384,1.2146331507317232,2.4895601565761933,43.96551724137931
case2,2025_2026,0.33,1.0,0.0,22.546788092629868,3.1274785098208016,0.01764161518406082,8.0,75.0,2.8183485115760147,2.8183485115760147,4.0,22.54678809260812,3.1274785098208016,5.63669702315203,75.0
case2,full_sample,0.33,1.0,0.0,410.0377124763472,1.297491986736544,0.2520518717538778,232.0,42.241379310344826,1.7674039330877334,1.7674039330877334,116.0,410.0377124763542,1.302232718953091,3.534807866175467,41.37931034482759
case3,2025_2026,0.25,1.0,0.0,21.49942067709344,2.8517265904360953,0.019981139019020766,8.0,75.0,2.687427584638196,2.687427584638196,4.0,21.49942067710557,2.8517265904360953,5.374855169276392,75.0
case3,full_sample,0.25,1.0,0.0,467.2622934212268,1.337801438220536,0.25593881108144645,232.0,42.241379310344826,2.0140616095740813,2.0140616095740813,116.0,467.2622934211869,1.3420047162323423,4.028123219148163,40.51724137931034
case4,2025_2026,0.33,1.2,0.0,24.96243514721573,3.355358963682258,0.01764156373881276,8.0,75.0,3.120304393403435,3.120304393403435,4.0,24.962435147227485,3.355358963682258,6.240608786806871,75.0
case4,full_sample,0.33,1.2,0.0,543.1956189924531,1.3907425896571155,0.2505134978040613,228.0,39.473684210526315,2.382436925405146,2.382436925405146,114.0,543.1956189923734,1.3959999644647099,4.764873850810293,38.59649122807017
case5,2025_2026,0.33,1.2,2.0,26.712997322305455,3.5204931459184925,0.01764155423212843,8.0,75.0,3.3391246652920064,3.3391246652920064,4.0,26.712997322336047,3.5204931459184925,6.678249330584012,75.0
case5,full_sample,0.33,1.2,2.0,472.5983903484157,1.340103588228127,0.2785674514324432,230.0,40.0,2.054775610210249,2.054775610210249,115.0,472.59839034835727,1.3446800467969338,4.109551220420498,39.130434782608695
