symbol,base_population,field,display_field,field_kind,is_major_candidate_field,expected_direction,observed_direction,supports_expected_direction,contradicts_expected_direction,sample_too_small_to_interpret,clean_count,adverse_dominant_count,clean_avg,clean_median,adverse_dominant_avg,adverse_dominant_median,delta_clean_minus_adverse,median_delta_clean_minus_adverse
FILUSDT,starter_short_signal,entry_rsi,entry_rsi,pre_entry_numeric,False,lower_clean,lower_clean,True,False,False,21,43,43.91596985633196,44.97288302019556,44.60915197984837,44.84792294885957,-0.693182123516408,0.12496007133599107
FILUSDT,starter_short_signal,entry_short_resumption_strong,entry_short_resumption_strong,pre_entry_boolean,True,higher_clean,lower_clean,False,True,False,21,43,0.2857142857142857,0.0,0.3023255813953488,0.0,-0.01661129568106312,0.0
FILUSDT,starter_short_signal,entry_short_resumption,entry_short_resumption,pre_entry_boolean,False,higher_clean,flat,False,True,False,21,43,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,starter_short_signal,entry_short_pullback,entry_short_pullback,pre_entry_boolean,False,higher_clean,flat,False,True,False,21,43,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,starter_short_signal,entry_exec_bear_structure,entry_exec_bear_structure,pre_entry_boolean,False,higher_clean,flat,False,True,False,21,43,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,starter_short_signal,entry_exec_slope_down,entry_exec_slope_down,pre_entry_boolean,False,higher_clean,flat,False,True,False,21,43,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,starter_short_signal,entry_exec_adx_pass,entry_exec_adx_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,21,43,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,starter_short_signal,entry_exec_atr_pass,entry_exec_atr_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,21,43,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,starter_short_signal,entry_exec_distance_pass,entry_exec_distance_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,21,43,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,starter_short_signal,entry_short_distance_cap_pass,entry_short_distance_cap_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,21,43,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,starter_short_signal,entry_short_ema20_proximity_pass,entry_short_ema20_proximity_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,21,43,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,starter_short_signal,entry_exec_bear_momentum,entry_exec_bear_momentum,pre_entry_boolean,False,higher_clean,flat,False,True,False,21,43,1.0,1.0,1.0,1.0,0.0,0.0
FILUSDT,starter_short_signal,entry_short_squeeze_risk,entry_short_squeeze_risk,pre_entry_boolean,False,lower_clean,flat,False,True,False,21,43,0.0,0.0,0.0,0.0,0.0,0.0
FILUSDT,starter_short_signal,entry_short_squeeze_pass,entry_short_squeeze_pass,pre_entry_boolean,False,higher_clean,flat,False,True,False,21,43,1.0,1.0,1.0,1.0,0.0,0.0
DOTUSDT,executed_short1,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,pre_entry_numeric,True,higher_clean,higher_clean,True,False,False,11,4,0.47780359677890716,0.5289844243440407,0.4207474311250668,0.4021960244899504,0.05705616565384036,0.1267883998540903
DOTUSDT,executed_short1,entry_adx,entry_adx,pre_entry_numeric,True,lower_clean,higher_clean,False,True,False,11,4,27.460444802234875,28.617524001727283,27.267459232858506,25.46266878437416,0.19298556937636846,3.1548552173531235
