min_exec_adx,min_exec_atr_ratio,min_ema_distance_atr,pullback_overshoot_atr,cooldown_bars,direction_cooldown_bars,long_rsi_min,short_rsi_max,stop_atr_mult,tp1_rr,tp2_rr,trail_atr_mult,add_on_profit_atr,weekly_fast_length,weekly_slow_length,daily_fast_length,daily_mid_length,daily_slow_length,daily_slope_lookback,daily_di_length,daily_adx_smoothing,min_daily_adx,daily_atr_length,daily_atr_ma_length,min_daily_atr_ratio,use_daily_adx_filter,use_daily_atr_expansion,exec_fast_length,exec_mid_length,exec_slow_length,exec_slope_lookback,exec_di_length,exec_adx_smoothing,exec_atr_length,exec_atr_ma_length,rsi_length,continuation_lookback,add_on_gap_bars,breakeven_offset_atr,require_strong_resumption,net_profit,profit_factor,max_drawdown_pct,total_trades,percent_profitable,avg_trade,expectancy,objective,trial_number
16,0.9,0.05,0.7,3,2,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,7
16,0.9,0.1,0.6,3,2,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,10
16,0.9,0.1,0.6,3,2,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,11
16,0.9,0.1,0.6,3,2,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,12
16,0.9,0.1,0.6,3,2,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,13
16,0.9,0.05,0.8,3,2,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,14
16,0.9,0.1,0.6,3,2,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,16
16,0.9,0.1,0.6,3,2,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,21
16,0.9,0.1,0.6,3,2,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,22
16,0.9,0.1,0.6,3,2,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1168.9621467937395,2.021874617727081,0.5486693397092957,89.0,30.337078651685395,13.13440614375023,13.13440614375023,79.91233425316747,23
16,0.85,0.05,0.7,3,3,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,1174.841458971423,2.0083424511424948,0.5486693458074954,96.0,30.208333333333332,12.237931864285551,12.237931864285551,76.95814738306298,1
16,0.9,0.1,0.7,5,4,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,958.2141980135493,1.8575581624166555,0.5632011644058799,84.0,30.952380952380953,11.407311881113452,11.407311881113452,71.20491076087526,15
16,0.9,0.05,0.7,4,3,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,985.7719263392355,1.8737114533842485,0.5486693397092957,88.0,30.681818181818183,11.201953708398408,11.201953708398408,70.96852343980083,3
16,0.85,0.05,0.7,5,2,53,47,1.5,1.0,2.4,2.25,0.8,50,200,20,50,200,5,14,14,18.0,14,20,0.95,False,False,20,50,200,5,14,14,14,20,14,10,3,0.05,False,955.8233391047688,1.8334652969776102,0.5632011725274944,92.0,30.434782608695656,10.389384120704394,10.389384120704394,67.66687929571516,4
