base_population,path_bucket,count,entry_short_ema20_gap_atr_avg,entry_short_ema20_gap_atr_median,avg_fwd_24bar_short_return,avg_fwd_24bar_mfe_atr,avg_fwd_24bar_mae_atr,avg_mfe_minus_mae_atr,avg_pnl,median_pnl,executed_count,blocked_count
executed_short1,clean_followthrough,61,0.4424217523474931,0.4004872896972984,0.048182684148071614,4.981018966598785,1.0100095522237456,3.9710094143750383,42.19280779685967,13.109204045458483,,
executed_short1,adverse_dominant,66,0.3696348867818371,0.3642909031066621,-0.08058292935155849,0.908952168766388,6.504141662149933,-5.595189493383545,-71.87634185254322,-82.77563117846756,,
executed_short1,weak_followthrough,11,0.45492389934539634,0.4586767362345866,0.02464387401811888,1.4451237169052484,2.7272903235692674,-1.282166606664019,-12.662636116056593,-5.108591070482853,,
executed_short1,failed_no_followthrough,1,0.5349605371743159,0.5349605371743159,-0.0025370804059327,0.9297604804994726,0.910785776815807,0.0189747036836656,-102.49048629861512,-102.49048629861512,,
executed_short1,mixed_chop,16,0.4697490700209479,0.49576365258822525,-0.01723489194082902,2.6517663520397265,1.3653257502419205,1.286440601797806,-23.989519411852346,-40.79487886548566,,
executed_short1,all_non_clean,94,0.39841501146712877,0.40055466541215956,-0.056656234834710106,1.268566235507175,5.127973840870681,-3.859407605363508,-57.12181230247582,-62.45717377967684,,
starter_short_signal,clean_followthrough,176,0.45540325316131375,0.43042377089060213,0.05636973556232264,4.9125393701927225,0.9718743345884007,3.940665035604322,,,61.0,115.0
starter_short_signal,adverse_dominant,227,0.39058621603881305,0.3644438836744136,-0.06428011599534662,0.9273041696569371,4.962620185614389,-4.035316015957452,,,66.0,161.0
starter_short_signal,weak_followthrough,41,0.41304056504812264,0.4103454802651453,0.02441915981484136,1.7358702027924389,3.2438595405359094,-1.507989337743471,,,11.0,30.0
starter_short_signal,failed_no_followthrough,1,0.5349605371743159,0.5349605371743159,-0.0025370804059327,0.9297604804994726,0.910785776815807,0.0189747036836656,,,1.0,0.0
starter_short_signal,mixed_chop,29,0.45835921169045407,0.4909274146620146,-0.01818464463994448,2.7414498182030047,1.4822993566950002,1.259150461508004,,,16.0,13.0
starter_short_signal,all_non_clean,298,0.40075540900664786,0.3955597223685611,-0.04738353205872319,1.2151024497818834,4.37386070609869,-3.158758256316806,,,94.0,204.0
