base_population,total_count,clean_followthrough_count,adverse_dominant_count,weak_followthrough_count,failed_no_followthrough_count,mixed_chop_count,other_bucket_count_kept_separate,clean_avg_fwd_24bar_short_return,adverse_avg_fwd_24bar_short_return,clean_avg_mfe_atr,adverse_avg_mfe_atr,clean_avg_mae_atr,adverse_avg_mae_atr,clean_avg_mfe_minus_mae_atr,adverse_avg_mfe_minus_mae_atr,clean_avg_pnl,adverse_avg_pnl,clean_winner_count,adverse_winner_count,clean_executed_count,adverse_executed_count,clean_blocked_count,adverse_blocked_count
executed_short1,155,61,66,11,1,16,28,0.048182684148071614,-0.08058292935155849,4.981018966598785,0.908952168766388,1.0100095522237456,6.504141662149933,3.9710094143750383,-5.595189493383545,42.19280779685967,-71.87634185254322,36.0,9.0,,,,
starter_short_signal,474,176,227,41,1,29,71,0.05636973556232264,-0.06428011599534662,4.9125393701927225,0.9273041696569371,0.9718743345884007,4.962620185614389,3.940665035604322,-4.035316015957452,,,,,61.0,66.0,115.0,161.0
