Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,direction,is_winner,is_loser_nonpositive,entry_exec_distance_atr,entry_short_ema20_gap_atr,entry_atr_ratio,entry_adx,entry_plus_di,entry_minus_di,entry_di_spread,entry_rsi,entry_exec_bear_structure,entry_exec_slope_down,entry_exec_adx_pass,entry_exec_atr_pass,entry_exec_distance_pass,entry_short_distance_cap_pass,entry_short_ema20_proximity_pass,entry_exec_bear_momentum,entry_short_squeeze_risk,entry_short_squeeze_pass,entry_short_pullback,entry_short_resumption,entry_short_resumption_strong,entry_starter_short_signal,fwd_24bar_short_return,fwd_24bar_mfe_atr,fwd_24bar_mae_atr,followthrough_label,symbol,population
-56.520218740000004,3306,3786,17.87,5.8,24259496.22583129,,681.5301234030122,0.6689167887879,0.6747714045886961,2022-04-29 00:00:00+00:00,2022-07-18 00:00:00+00:00,80 days 00:00:00,Short1,short,True,False,1.2757391403219567,0.2520047999581798,1.0239329930097323,19.87855506340703,17.434728247990016,19.212271460207443,-1.7775432122174273,45.51183028698741,True,True,True,True,True,True,True,True,False,True,True,True,False,True,0.17291550083939572,12.27894052506093,0.34674748991035464,True,FILUSDT,executed_short1_followthrough
-175.31520763,4053,4074,5.8,6.29,33668948.841594756,,-86.96423216882343,1.0597804301233502,-0.08552500000000011,2022-08-31 12:00:00+00:00,2022-09-04 00:00:00+00:00,3 days 12:00:00,Short1,short,False,True,1.5955734474473033,0.23554713486335174,0.9983188430633444,26.07056386605112,15.783744675070894,25.78938067365388,-10.005635998582987,45.400606608233105,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.07068965517241382,1.2793561366573258,6.0921720793206,False,FILUSDT,executed_short1_adverse
-175.16534423000002,4099,4110,5.8,6.320000000000001,26734780.39804279,,-92.14748098563403,1.0615019860338002,-0.09070000000000018,2022-09-08 04:00:00+00:00,2022-09-10 00:00:00+00:00,1 days 20:00:00,Short1,short,False,True,1.0127803047305797,0.5681098234343782,0.9392222898334961,18.694119057114534,19.41861024588165,23.62353362844919,-4.204923382567543,44.15691370730213,True,True,True,True,True,True,True,True,False,True,True,True,True,True,-0.12413793103448272,0.560321179863181,6.667822040371879,False,FILUSDT,executed_short1_adverse
-184.88852135,4262,4410,5.49,5.74,22268041.707795385,,-47.2602793848803,1.0381490473802502,-0.046560109289617464,2022-10-05 08:00:00+00:00,2022-10-30 00:00:00+00:00,24 days 16:00:00,Short1,short,False,True,1.0400085043406606,0.633489461903193,0.913456650634509,23.293294957546106,13.277182235995907,21.705430439359866,-8.428248203363959,41.68134418509496,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.01092896174863397,1.3462071235502246,1.5385224269145374,False,FILUSDT,executed_short1_adverse
-230.58309446,4649,4812,4.4,3.3120000000000003,13597497.141435161,,249.9852783602423,0.8891284122377601,0.24639636363636366,2022-12-08 20:00:00+00:00,2023-01-05 00:00:00+00:00,27 days 04:00:00,Short1,short,True,False,0.5589574040745916,0.3750438010304563,0.9616277325228831,29.722161117762536,14.366300875725987,24.848021334200425,-10.481720458474438,45.14010076699831,True,True,True,True,True,True,True,True,False,True,True,True,False,True,0.03409090909090917,2.7430038396714744,0.8348272555521792,True,FILUSDT,executed_short1_followthrough
-184.18403098000002,5343,5370,5.522,5.848,20559633.864562597,,-61.09108031560125,1.0470862161213002,-0.06006609923940596,2023-04-03 12:00:00+00:00,2023-04-08 00:00:00+00:00,4 days 12:00:00,Short1,short,False,True,0.7847499156712303,0.5673670644534001,0.9349327136782889,16.168790685157088,18.512606811030224,26.91650374309547,-8.403896932065244,44.75092802012343,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.07044549076421575,1.1579404706127536,3.371418513076583,False,FILUSDT,executed_short1_adverse
-192.9120542,5485,5676,5.269,4.656,8843040.915582193,,117.29776315563268,0.9573260689675,0.11539903207439761,2023-04-27 04:00:00+00:00,2023-05-29 00:00:00+00:00,31 days 20:00:00,Short1,short,True,False,1.246623068788556,0.233878122069273,1.1512548709956238,24.564859561544313,20.951324890039775,27.60081563198325,-6.649490741943474,46.84051262379849,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.017840197380907252,0.43162217273340614,2.8918685573137983,False,FILUSDT,executed_short1_adverse
-326.6857159,6313,6432,3.115,3.453,7037322.834933026,,-111.49260786521542,1.0728358910156,-0.10956147672552152,2023-09-12 04:00:00+00:00,2023-10-02 00:00:00+00:00,19 days 20:00:00,Short1,short,False,True,0.9807270833512287,0.12019625921886425,1.2510877806190828,40.3640617463292,16.906876389595755,30.738240906774468,-13.831364517178713,46.33665605256036,True,True,True,True,True,True,True,True,False,True,True,True,False,True,-0.082182985553772,0.5935845253290726,5.389122664171803,False,FILUSDT,executed_short1_adverse
-172.31931448,7691,7914,5.899,6.002000000000001,15446050.659205096,,-18.774275472253297,1.02538608081324,-0.018469316833361685,2024-04-28 20:00:00+00:00,2024-06-05 00:00:00+00:00,37 days 04:00:00,Short1,short,False,True,1.5469843714062956,0.5904337614019627,0.9274374660446734,23.732875684062908,18.25883420949552,27.284842650948228,-9.026008441452706,43.85021018302945,True,True,True,True,True,True,True,True,False,True,True,True,True,True,-0.0049160874724529435,4.546683162818973,0.8439167309404968,False,FILUSDT,executed_short1_adverse
-231.87861903,8057,8166,4.383,4.53,18012842.088247474,,-35.11952406311718,1.033367065707195,-0.03455544147843946,2024-06-28 20:00:00+00:00,2024-07-17 00:00:00+00:00,18 days 04:00:00,Short1,short,False,True,1.1904384073086036,0.6800860206680873,0.9137218901703621,20.314211480611778,19.68092397759317,21.68731007025074,-2.006386092657568,44.43738431357878,True,True,True,True,True,True,True,True,False,True,True,True,True,True,-0.007985398129135329,0.9368660413441855,1.9978950520231336,False,FILUSDT,executed_short1_adverse
