scope,candidate,market,family,trade_count,net_pnl,profit_factor,max_dd_pct,win_rate,avg_trade,median_trade,gross_profit,gross_loss,fees,avg_hold_bars,median_hold_bars,stop_loss_count,take_profit_count,time_stop_count,ema_touch_count
holdout,D_volatility_expansion_continuation,LINKUSDT,large_alts,21,-578.209218,0.226821,0.559384,14.285714,-27.533772,-39.003545,169.624001,747.833218,20.721256,5.0,4.0,16,2,2,0
holdout,D_volatility_expansion_continuation,LTCUSDT,large_alts,9,-185.698607,0.293974,0.156611,11.111111,-20.633179,-29.087811,77.320948,263.019555,8.911606,5.666667,7.0,5,1,2,0
holdout,D_volatility_expansion_continuation,NEARUSDT,other,15,-343.508389,0.388831,0.375726,20.0,-22.900559,-41.102267,218.542812,562.051201,14.835664,4.0,3.0,11,3,0,0
holdout,D_volatility_expansion_continuation,SOLUSDT,large_alts,11,-36.073001,0.78647,0.091047,45.454545,-3.279364,-5.580485,132.863219,168.93622,10.987457,8.181818,10.0,4,1,6,0
holdout,D_volatility_expansion_continuation,TRXUSDT,other,18,-80.349429,0.588806,0.105447,33.333333,-4.463857,-12.057307,115.055774,195.405203,17.96881,5.722222,5.5,9,2,4,0
holdout,D_volatility_expansion_continuation,UNIUSDT,defi,13,-193.448077,0.584326,0.319519,30.769231,-14.880621,-44.192554,271.936218,465.384295,12.909731,7.076923,8.0,6,2,3,0
holdout,D_volatility_expansion_continuation,XRPUSDT,large_alts,10,105.892652,1.435708,0.109223,40.0,10.589265,-25.253049,348.928227,243.035575,10.057975,3.2,2.0,6,4,0,0
holdout,E_true_mean_reversion_v2,AAVEUSDT,defi,2,7.875338,1.446488,0.017638,50.0,3.937669,3.937669,25.51376,17.638422,2.00494,2.0,2.0,1,1,0,0
holdout,E_true_mean_reversion_v2,ADAUSDT,large_alts,3,8.09452,1.369497,0.021907,66.666667,2.698173,0.415277,30.0014,21.90688,3.00555,5.0,6.0,1,0,2,0
holdout,E_true_mean_reversion_v2,ATOMUSDT,other,3,-57.701183,0.09373,0.028934,33.333333,-19.233728,-28.933765,5.967668,63.668851,2.972636,3.0,2.0,2,0,1,0
holdout,E_true_mean_reversion_v2,AVAXUSDT,large_alts,1,4.222048,inf,0.0,100.0,4.222048,4.222048,4.222048,-0.0,1.002612,6.0,6.0,0,0,1,0
holdout,E_true_mean_reversion_v2,BCHUSDT,large_alts,4,-12.716311,0.694044,0.041563,25.0,-3.179078,-11.799092,28.846266,41.562576,3.99564,3.0,2.5,2,1,1,0
holdout,E_true_mean_reversion_v2,BNBUSDT,large_alts,1,-16.928503,0.0,0.0,0.0,-16.928503,-16.928503,0.0,16.928503,0.992032,2.0,2.0,1,0,0,0
