symbol,base_population,clean_followthrough_count,adverse_dominant_count,mixed_chop_count,weak_followthrough_count,unresolved_non_clean_count,failed_no_followthrough_excluded_count,sample_too_small_to_interpret,clean_like_field_votes,adverse_like_field_votes,mixed_like_field_votes,weak_like_field_votes,tie_votes,not_testable_votes,unresolved_non_clean_affinity,field_affinity_detail
AAVEUSDT,executed_short1,2,6,1,1,2,0,False,1,3,0,0,15,0,adverse_dominant,fwd_24bar_short_return:tie;fwd_24bar_mfe_atr:adverse_dominant;fwd_24bar_mae_atr:tie;mfe_minus_mae_atr:tie;entry_short_ema20_gap_atr:tie;entry_exec_distance_atr:clean_followthrough;entry_adx:tie;entry_atr_ratio:tie;entry_plus_di:tie;entry_minus_di:adverse_dominant;entry_di_spread:adverse_dominant;entry_short_resumption_strong:tie;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
FILUSDT,starter_short_signal,21,43,5,5,10,0,False,1,4,0,0,14,0,adverse_dominant,fwd_24bar_short_return:tie;fwd_24bar_mfe_atr:tie;fwd_24bar_mae_atr:adverse_dominant;mfe_minus_mae_atr:tie;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:tie;entry_adx:tie;entry_atr_ratio:tie;entry_plus_di:adverse_dominant;entry_minus_di:clean_followthrough;entry_di_spread:adverse_dominant;entry_short_resumption_strong:tie;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
DOTUSDT,starter_short_signal,33,19,7,4,11,0,False,3,1,8,0,7,0,mixed_chop,fwd_24bar_short_return:mixed_chop;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:mixed_chop;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:mixed_chop;entry_exec_distance_atr:mixed_chop;entry_adx:clean_followthrough;entry_atr_ratio:mixed_chop;entry_plus_di:adverse_dominant;entry_minus_di:clean_followthrough;entry_di_spread:clean_followthrough;entry_short_resumption_strong:mixed_chop;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
ATOMUSDT,starter_short_signal,18,25,5,8,13,0,False,3,1,0,8,7,0,weak_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:weak_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:clean_followthrough;entry_exec_distance_atr:weak_followthrough;entry_adx:weak_followthrough;entry_atr_ratio:clean_followthrough;entry_plus_di:clean_followthrough;entry_minus_di:adverse_dominant;entry_di_spread:weak_followthrough;entry_short_resumption_strong:weak_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
UNIUSDT,starter_short_signal,19,16,0,7,7,0,False,0,0,0,12,7,0,weak_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:weak_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:weak_followthrough;entry_exec_distance_atr:weak_followthrough;entry_adx:weak_followthrough;entry_atr_ratio:weak_followthrough;entry_plus_di:weak_followthrough;entry_minus_di:weak_followthrough;entry_di_spread:weak_followthrough;entry_short_resumption_strong:weak_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
ADAUSDT,starter_short_signal,10,22,3,1,4,0,False,1,2,9,0,7,0,mixed_chop,fwd_24bar_short_return:mixed_chop;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:mixed_chop;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:mixed_chop;entry_adx:mixed_chop;entry_atr_ratio:mixed_chop;entry_plus_di:mixed_chop;entry_minus_di:clean_followthrough;entry_di_spread:adverse_dominant;entry_short_resumption_strong:mixed_chop;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
XRPUSDT,starter_short_signal,15,15,1,3,4,0,False,1,2,0,9,7,0,weak_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:weak_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:weak_followthrough;entry_exec_distance_atr:adverse_dominant;entry_adx:weak_followthrough;entry_atr_ratio:weak_followthrough;entry_plus_di:clean_followthrough;entry_minus_di:weak_followthrough;entry_di_spread:adverse_dominant;entry_short_resumption_strong:weak_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
LTCUSDT,starter_short_signal,9,19,4,1,5,1,False,2,2,7,0,8,0,mixed_chop,fwd_24bar_short_return:mixed_chop;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:clean_followthrough;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:mixed_chop;entry_adx:adverse_dominant;entry_atr_ratio:clean_followthrough;entry_plus_di:mixed_chop;entry_minus_di:mixed_chop;entry_di_spread:mixed_chop;entry_short_resumption_strong:tie;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
DOGEUSDT,starter_short_signal,18,30,0,8,8,0,False,0,0,0,12,7,0,weak_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:weak_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:weak_followthrough;entry_exec_distance_atr:weak_followthrough;entry_adx:weak_followthrough;entry_atr_ratio:weak_followthrough;entry_plus_di:weak_followthrough;entry_minus_di:weak_followthrough;entry_di_spread:weak_followthrough;entry_short_resumption_strong:weak_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
NEARUSDT,starter_short_signal,15,10,2,1,3,0,False,2,0,10,0,7,0,mixed_chop,fwd_24bar_short_return:mixed_chop;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:mixed_chop;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:mixed_chop;entry_exec_distance_atr:mixed_chop;entry_adx:clean_followthrough;entry_atr_ratio:mixed_chop;entry_plus_di:mixed_chop;entry_minus_di:mixed_chop;entry_di_spread:mixed_chop;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
ETCUSDT,starter_short_signal,11,15,1,2,3,0,False,2,6,0,4,7,0,adverse_dominant,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:adverse_dominant;fwd_24bar_mae_atr:weak_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:adverse_dominant;entry_exec_distance_atr:weak_followthrough;entry_adx:clean_followthrough;entry_atr_ratio:clean_followthrough;entry_plus_di:adverse_dominant;entry_minus_di:adverse_dominant;entry_di_spread:adverse_dominant;entry_short_resumption_strong:adverse_dominant;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
AAVEUSDT,starter_short_signal,7,13,1,1,2,0,False,2,1,0,0,16,0,clean_followthrough,fwd_24bar_short_return:tie;fwd_24bar_mfe_atr:tie;fwd_24bar_mae_atr:tie;mfe_minus_mae_atr:tie;entry_short_ema20_gap_atr:tie;entry_exec_distance_atr:clean_followthrough;entry_adx:tie;entry_atr_ratio:tie;entry_plus_di:tie;entry_minus_di:adverse_dominant;entry_di_spread:clean_followthrough;entry_short_resumption_strong:tie;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
