base_population,field,display_field,adverse_count,mixed_chop_count,adverse_avg,mixed_avg,mixed_minus_adverse_avg_delta,adverse_median,mixed_median,mixed_minus_adverse_median_delta
executed_short1,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,66,16,0.3696348867818371,0.4697490700209479,0.10011418323911081,0.3642909031066621,0.49576365258822525,0.13147274948156312
executed_short1,entry_exec_distance_atr,entry_exec_distance_atr,66,16,1.2206510366089676,1.2501037092964395,0.02945267268747198,1.3014798316741338,1.341788965041656,0.040309133367522065
executed_short1,entry_adx,entry_adx,66,16,27.49985713481971,26.989963742787175,-0.5098933920325344,25.97336274651228,25.563706405137374,-0.40965634137490525
executed_short1,entry_atr_ratio,entry_atr_ratio,66,16,1.018147068919869,0.9808637760710968,-0.0372832928487723,0.9935399575138815,0.9793236878389466,-0.014216269674934834
executed_short1,entry_plus_di,plus_di,66,16,16.84660697251007,17.13624659606871,0.2896396235586387,16.934111451574815,16.957478554398897,0.023367102824082053
executed_short1,entry_minus_di,minus_di,66,16,23.706181590476596,24.969025936062806,1.2628443455862097,23.51584596155294,26.75300926563195,3.237163304079008
executed_short1,entry_di_spread,di_spread,66,16,-6.85957461796653,-7.8327793399940955,-0.9732047220275657,-6.028993750166391,-7.947767169029054,-1.9187734188626626
executed_short1,entry_short_resumption_strong,entry_short_resumption_strong,66,16,0.2878787878787879,0.625,0.3371212121212121,0.0,1.0,1.0
executed_short1,entry_short_resumption,entry_short_resumption,66,16,1.0,1.0,0.0,1.0,1.0,0.0
executed_short1,entry_short_pullback,entry_short_pullback,66,16,1.0,1.0,0.0,1.0,1.0,0.0
executed_short1,entry_exec_bear_momentum,entry_exec_bear_momentum,66,16,1.0,1.0,0.0,1.0,1.0,0.0
executed_short1,entry_short_squeeze_risk,entry_short_squeeze_risk,66,16,0.0,0.0,0.0,0.0,0.0,0.0
executed_short1,entry_short_squeeze_pass,entry_short_squeeze_pass,66,16,1.0,1.0,0.0,1.0,1.0,0.0
starter_short_signal,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,227,29,0.39058621603881305,0.45835921169045407,0.06777299565164102,0.3644438836744136,0.4909274146620146,0.126483530987601
starter_short_signal,entry_exec_distance_atr,entry_exec_distance_atr,227,29,1.1830802149305053,1.2510904224205774,0.06801020749007214,1.1944666796778214,1.3039567782185226,0.10949009854070124
starter_short_signal,entry_adx,entry_adx,227,29,26.76260514141158,26.620329348871064,-0.14227579254051648,25.30873643612044,26.011318109022817,0.7025816729023759
starter_short_signal,entry_atr_ratio,entry_atr_ratio,227,29,1.0234835338132693,0.9949476415069829,-0.028535892306286392,0.9983188430633444,0.9898246489366422,-0.00849419412670216
starter_short_signal,entry_plus_di,plus_di,227,29,16.699433765468605,16.75985522491874,0.06042145945013644,16.906876389595755,16.624996340570288,-0.28188004902546737
starter_short_signal,entry_minus_di,minus_di,227,29,23.148116578936293,23.944235786057785,0.7961192071214924,23.20925283674809,23.267829904562085,0.05857706781399585
starter_short_signal,entry_di_spread,di_spread,227,29,-6.448682813467689,-7.184380561139043,-0.7356977476713542,-5.745560691518122,-7.7841572266512,-2.0385965351330775
starter_short_signal,entry_short_resumption_strong,entry_short_resumption_strong,227,29,0.3303964757709251,0.5172413793103449,0.18684490353941974,0.0,1.0,1.0
starter_short_signal,entry_short_resumption,entry_short_resumption,227,29,1.0,1.0,0.0,1.0,1.0,0.0
starter_short_signal,entry_short_pullback,entry_short_pullback,227,29,1.0,1.0,0.0,1.0,1.0,0.0
starter_short_signal,entry_exec_bear_momentum,entry_exec_bear_momentum,227,29,1.0,1.0,0.0,1.0,1.0,0.0
starter_short_signal,entry_short_squeeze_risk,entry_short_squeeze_risk,227,29,0.0,0.0,0.0,0.0,0.0,0.0
starter_short_signal,entry_short_squeeze_pass,entry_short_squeeze_pass,227,29,1.0,1.0,0.0,1.0,1.0,0.0
