market,inst_id,source,endpoint_or_method,params,success,status_code,okx_code,row_count,response_sha256,raw_data_path,error_or_msg,fetch_timestamp_utc
AVAXUSDT,AVAX-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""AVAX"", ""instId"": ""AVAX-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,e1d43a9787ea28d05babaac3be184da330d11be087e78c0ba460ae5d9357886a,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
BCHUSDT,BCH-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""BCH-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,643919f99619edad83d5b3ffb8ec5cd9a6f86439f437942d38f16d0d0024ed21,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
BCHUSDT,BCH-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""BCH"", ""period"": ""1H""}",True,200,0,720,642286bc2d9126dcc1f0ae4d52a9c08623be50e24c53a7c0a4478485b645587f,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
BCHUSDT,BCH-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""BCH"", ""instId"": ""BCH-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,642286bc2d9126dcc1f0ae4d52a9c08623be50e24c53a7c0a4478485b645587f,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
BNBUSDT,BNB-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""BNB-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,aa42f70d11548e4a356fe59a28fa0fa1d73694dba92da2cccdc2953becad253b,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
BNBUSDT,BNB-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""BNB"", ""period"": ""1H""}",True,200,0,720,5c3d5cdfe983a76937c17a07e243a2f30dc2591086d476e5ccc331198f96acb3,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
BNBUSDT,BNB-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""BNB"", ""instId"": ""BNB-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,5c3d5cdfe983a76937c17a07e243a2f30dc2591086d476e5ccc331198f96acb3,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
BTCUSDT,BTC-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""BTC-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,aaf07c2c1db0b934c0ec6fd17af0dc6888bd0acd9b46e0b6b424c3928caf1f2c,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
BTCUSDT,BTC-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""BTC"", ""period"": ""1H""}",True,200,0,720,e5d2c23ef9b2fb694df2b96ee0a29889447f7958ef70d1c7a3f9d72ba82e12b8,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
BTCUSDT,BTC-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""BTC"", ""instId"": ""BTC-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,e5d2c23ef9b2fb694df2b96ee0a29889447f7958ef70d1c7a3f9d72ba82e12b8,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
DOGEUSDT,DOGE-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""DOGE-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,92161ac1b0589b28f225518f8e2fa6864def64e96bc11d430514be8a549a8b41,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
DOGEUSDT,DOGE-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""DOGE"", ""period"": ""1H""}",True,200,0,720,bd25058cd125db293fb29464fb87a15d957d31518399410cc19efae6211b95c7,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
DOGEUSDT,DOGE-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""DOGE"", ""instId"": ""DOGE-USDT-SWAP"", ""period"": ""1H""}",True,200,0,720,bd25058cd125db293fb29464fb87a15d957d31518399410cc19efae6211b95c7,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
DOTUSDT,DOT-USDT-SWAP,okx_native_public_open_interest_current_exact,/api/v5/public/open-interest,"{""instId"": ""DOT-USDT-SWAP"", ""instType"": ""SWAP""}",True,200,0,1,55482f390ed57ef56f6a01796cbac3ca877775b345fa946ffaa68151c163f15a,research_output/exact_instrument_oi_audit_round1_raw/okx_native_current_exact_open_interest.jsonl,,2026-05-23T15:13:20.999725+00:00
DOTUSDT,DOT-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""DOT"", ""period"": ""1H""}",True,200,0,720,7d501364ce2032295423463e3dc3edf0d4247ddee3bd57d711c2f9b87d0d5da0,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
DOTUSDT,DOT-USDT-SWAP,okx_native_rubik_contracts_open_interest_volume_by_ccy_plus_instid_1h,/api/v5/rubik/stat/contracts/open-interest-volume,"{""ccy"": ""DOT"", ""instId"": ""DOT-USDT-SWAP"", ""period"": ""1H""}",True,200,0,719,3f257adba9dcca029aff84f775c5b3f681e1fa74edb9603b7ceef687be43b8b0,research_output/exact_instrument_oi_audit_round1_raw/okx_native_rubik_historical_oi_volume_by_ccy_with_instid_1h.jsonl,,2026-05-23T15:13:20.999725+00:00
