bucket,reclaim_label,count,share,win_rate,avg_trade,avg_loss,avg_win,net_pnl
all_trades,ambiguous,48,0.5333333333333333,0.1875,-5.289551559484452,-18.75001868379749,53.039139312538694,-253.8984748552537
all_trades,reclaim_then_failed_hold,12,0.13333333333333333,0.16666666666666666,11.215501583324317,-19.23890978992968,163.4875584495943,134.5860189998918
all_trades,reclaim_without_retest,26,0.28888888888888886,0.6153846153846154,52.02392527879077,-15.294172183458034,94.09773619269627,1352.62205724856
all_trades,strict_reclaim_retest_hold,4,0.044444444444444446,0.5,2.0809801563971537,-12.193576193752564,16.355536506546873,8.323920625588615
full_sample_losers,ambiguous,39,0.639344262295082,0.0,-18.75001868379749,-18.75001868379749,0.0,-731.250728668102
full_sample_losers,reclaim_then_failed_hold,10,0.16393442622950818,0.0,-19.23890978992968,-19.23890978992968,0.0,-192.3890978992968
full_sample_losers,reclaim_without_retest,10,0.16393442622950818,0.0,-15.294172183458034,-15.294172183458034,0.0,-152.94172183458033
full_sample_losers,strict_reclaim_retest_hold,2,0.03278688524590164,0.0,-12.193576193752564,-12.193576193752564,0.0,-24.38715238750513
recent_period_losers,ambiguous,21,0.6774193548387096,0.0,-15.763131658453636,-15.763131658453636,0.0,-331.02576482752636
recent_period_losers,reclaim_then_failed_hold,5,0.16129032258064516,0.0,-9.175407071149664,-9.175407071149664,0.0,-45.87703535574832
recent_period_losers,reclaim_without_retest,3,0.0967741935483871,0.0,-11.871405530073813,-11.871405530073813,0.0,-35.61421659022144
recent_period_losers,strict_reclaim_retest_hold,2,0.06451612903225806,0.0,-12.193576193752564,-12.193576193752564,0.0,-24.38715238750513
weak_slice_losers,ambiguous,6,0.5,0.0,-16.884062292476788,-16.884062292476788,0.0,-101.30437375486072
weak_slice_losers,reclaim_then_failed_hold,3,0.25,0.0,-5.779186614013675,-5.779186614013675,0.0,-17.337559842041024
weak_slice_losers,reclaim_without_retest,2,0.16666666666666666,0.0,-2.5679681015244027,-2.5679681015244027,0.0,-5.135936203048805
weak_slice_losers,strict_reclaim_retest_hold,1,0.08333333333333333,0.0,-3.5010258496011644,-3.5010258496011644,0.0,-3.5010258496011644
historical_winners,ambiguous,9,0.3103448275862069,1.0,53.039139312538694,0.0,53.039139312538694,477.35225381284823
historical_winners,reclaim_then_failed_hold,2,0.06896551724137931,1.0,163.4875584495943,0.0,163.4875584495943,326.9751168991886
historical_winners,reclaim_without_retest,16,0.5517241379310345,1.0,94.09773619269627,0.0,94.09773619269627,1505.5637790831404
historical_winners,strict_reclaim_retest_hold,2,0.06896551724137931,1.0,16.355536506546873,0.0,16.355536506546873,32.711073013093745
small_wins,none,0,0.0,0.0,0.0,0.0,0.0,0.0
