variant,scope,market,description,allow_longs,allow_shorts,enable_add_on_entries,data_file,rows_loaded,total_trades,Long1,Long2,Short1,Short2,net_profit,profit_factor,win_rate,avg_trade,median_trade_pnl,expectancy,avg_duration_bars,median_duration_bars,max_drawdown_pct,equity_initial,equity_final
long_short_current,market,AAVEUSDT,"Current unit-fixed reference: longs, shorts, add-ons enabled",True,True,True,AAVEUSDT_4h.csv,12239,144,92,30,22,0,29.899779184386716,1.0120627794645924,56.94444444444444,0.20763735544696912,5.551203642400982,0.20763735544696912,7.784722222222222,6.0,0.5607924874790227,100000.0,100029.89977918439
long_short_current,market,ADAUSDT,"Current unit-fixed reference: longs, shorts, add-ons enabled",True,True,True,ADAUSDT_4h.csv,16152,120,70,18,32,0,396.90087880936335,1.1890481565748272,55.00000000000001,3.307507323410918,1.699692204250212,3.307507323410918,8.175,6.0,0.4253622593527906,100000.0,100396.90087880936
long_short_current,market,ATOMUSDT,"Current unit-fixed reference: longs, shorts, add-ons enabled",True,True,True,ATOMUSDT_4h.csv,15444,130,49,20,61,0,-282.6618859115115,0.8751662722416317,53.07692307692308,-2.1743221993192012,1.307969386471267,-2.1743221993192012,7.315384615384615,5.0,0.5628810040612775,100000.0,99717.33811408849
long_short_current,market,AVAXUSDT,"Current unit-fixed reference: longs, shorts, add-ons enabled",True,True,True,AVAXUSDT_4h.csv,12376,84,49,20,15,0,461.4015925840795,1.3346556152384035,55.952380952380956,5.492876102192087,8.2876065154784,5.492876102192087,7.880952380952381,5.0,0.5102316163740794,100000.0,100461.40159258408
long_short_current,market,BCHUSDT,"Current unit-fixed reference: longs, shorts, add-ons enabled",True,True,True,BCHUSDT_4h.csv,14168,143,97,27,19,0,-144.31591759015282,0.9322755079740244,51.048951048951054,-1.0092022209095823,0.983978645647921,-1.0092022209095823,7.825174825174825,7.0,0.9877652968014239,100000.0,99855.68408240985
long_short_current,market,BNBUSDT,"Current unit-fixed reference: longs, shorts, add-ons enabled",True,True,True,BNBUSDT_4h.csv,16152,208,158,50,0,0,3100.9942727210437,2.582517911018661,65.86538461538461,14.908626311158956,6.830948843050834,14.908626311158956,9.177884615384615,7.0,0.3506516694662509,100000.0,103100.99427272104
long_short_current,market,BTCUSDT,"Current unit-fixed reference: longs, shorts, add-ons enabled",True,True,True,BTCUSDT_4h.csv,15947,224,171,52,1,0,483.71322672697715,1.2695436710520824,58.03571428571429,2.159434047887655,1.627628999128707,2.159434047887655,8.825892857142858,6.0,0.2580082344604162,100000.0,100483.71322672698
long_short_current,market,DOGEUSDT,"Current unit-fixed reference: longs, shorts, add-ons enabled",True,True,True,DOGEUSDT_4h.csv,15042,101,54,13,34,0,-905.2296538211231,0.5579522416969256,43.56435643564357,-8.962669839812353,-10.651864915360965,-8.962669839812353,8.475247524752476,6.0,0.9099911572469033,100000.0,99094.77034617888
long_short_current,market,DOTUSDT,"Current unit-fixed reference: longs, shorts, add-ons enabled",True,True,True,DOTUSDT_4h.csv,12582,123,45,10,68,0,-674.2580445437779,0.6851838202272492,52.84552845528455,-5.4817727198673,0.5159596401027879,-5.4817727198673,8.398373983739837,7.0,0.9896562891970051,100000.0,99325.74195545622
long_short_current,market,ETCUSDT,"Current unit-fixed reference: longs, shorts, add-ons enabled",True,True,True,ETCUSDT_4h.csv,16152,102,55,19,28,0,-193.01030909022666,0.8817011646184009,54.90196078431373,-1.8922579322575406,1.8014600805082606,-1.8922579322575406,7.6568627450980395,6.0,0.6791329597549356,100000.0,99806.98969090977
long_short_current,market,ETHUSDT,"Current unit-fixed reference: longs, shorts, add-ons enabled",True,True,True,ETHUSDT_4h.csv,16152,209,156,50,3,0,1443.6234099433932,1.7817823455548247,63.1578947368421,6.907289042791987,5.191789410341852,6.907289042791987,9.334928229665072,7.0,0.2709736073455593,100000.0,101443.6234099434
