market,okx_inst_id,ccxt_symbol_requested,timestamp,timestamp_ms,open_interest_amount,open_interest_value,base_volume,quote_volume,ccxt_symbol_returned,raw_info_json,source,fetch_timestamp_utc,history_granularity_note
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-21T13:00:00+00:00,1779368400000,,5901049.301,,180216.666,,"[""1779368400000"", ""5901049.301"", ""180216.666""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-21T14:00:00+00:00,1779372000000,,5905568.019,,226440.13,,"[""1779372000000"", ""5905568.019"", ""226440.13""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-21T15:00:00+00:00,1779375600000,,5900814.446,,265495.88,,"[""1779375600000"", ""5900814.446"", ""265495.88""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-21T16:00:00+00:00,1779379200000,,5832187.589,,464882.269,,"[""1779379200000"", ""5832187.589"", ""464882.269""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-21T17:00:00+00:00,1779382800000,,5812431.83,,204106.104,,"[""1779382800000"", ""5812431.83"", ""204106.104""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-21T18:00:00+00:00,1779386400000,,5778361.278,,491484.807,,"[""1779386400000"", ""5778361.278"", ""491484.807""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-21T19:00:00+00:00,1779390000000,,5771223.176,,255310.207,,"[""1779390000000"", ""5771223.176"", ""255310.207""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-21T20:00:00+00:00,1779393600000,,5774911.739,,178536.22,,"[""1779393600000"", ""5774911.739"", ""178536.22""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-21T21:00:00+00:00,1779397200000,,5757404.524,,257083.152,,"[""1779397200000"", ""5757404.524"", ""257083.152""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,2026-05-21T22:00:00+00:00,1779400800000,,5702135.798,,222379.926,,"[""1779400800000"", ""5702135.798"", ""222379.926""]",okx_public_via_ccxt.fetchOpenInterestHistory_1h,2026-05-23T08:41:43.407426+00:00,OKX ccxt historical OI uses 1h period and appears base-currency aggregate rather than exact instId-specific history.
