market,okx_inst_id,ccxt_symbol,timestamp,timestamp_ms,funding_rate,realized_rate,formula_type,method,inst_type,source,fetch_timestamp_utc
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-06T16:00:00+00:00,1778083200000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-07T00:00:00+00:00,1778112000000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-07T08:00:00+00:00,1778140800000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-07T16:00:00+00:00,1778169600000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-08T00:00:00+00:00,1778198400000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-08T08:00:00+00:00,1778227200000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-08T16:00:00+00:00,1778256000000,-1.96124597745e-05,-0.0000196124597745,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-09T00:00:00+00:00,1778284800000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-09T08:00:00+00:00,1778313600000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-09T16:00:00+00:00,1778342400000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-10T00:00:00+00:00,1778371200000,0.0001,0.0001,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-10T08:00:00+00:00,1778400000000,9.06072259223e-05,0.0000906072259223,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
NEARUSDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,2026-05-10T16:00:00+00:00,1778428800000,3.9998372036e-05,0.000039998372036,withRate,current_period,SWAP,okx_public_via_ccxt.fetchFundingRateHistory,2026-05-23T08:41:43.407426+00:00
