fetch_timestamp_utc,market,okx_inst_id,feature_class,source,ccxt_version,method_or_endpoint,status,row_count,earliest_timestamp,latest_timestamp,error,raw_data_path
2026-05-23T08:41:43.407426+00:00,DOTUSDT,DOT-USDT-SWAP,current_open_interest,okx_public_via_ccxt,4.2.14,ccxt.fetchOpenInterest(symbol),success,1,2026-05-23T08:42:04.379000+00:00,2026-05-23T08:42:04.379000+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/current_open_interest.csv
2026-05-23T08:41:43.407426+00:00,ETCUSDT,ETC-USDT-SWAP,funding_rate,okx_public_via_ccxt,4.2.14,"ccxt.fetchFundingRateHistory(symbol,since,limit=100)",success,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/funding_history.csv
2026-05-23T08:41:43.407426+00:00,ETCUSDT,ETC-USDT-SWAP,open_interest_history,okx_public_via_ccxt,4.2.14,"ccxt.fetchOpenInterestHistory(symbol,1h,since,limit=100)",success,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/open_interest_history_1h.csv
2026-05-23T08:41:43.407426+00:00,ETCUSDT,ETC-USDT-SWAP,current_open_interest,okx_public_via_ccxt,4.2.14,ccxt.fetchOpenInterest(symbol),success,1,2026-05-23T08:42:06.530000+00:00,2026-05-23T08:42:06.530000+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/current_open_interest.csv
2026-05-23T08:41:43.407426+00:00,ETHUSDT,ETH-USDT-SWAP,funding_rate,okx_public_via_ccxt,4.2.14,"ccxt.fetchFundingRateHistory(symbol,since,limit=100)",success,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/funding_history.csv
2026-05-23T08:41:43.407426+00:00,ETHUSDT,ETH-USDT-SWAP,open_interest_history,okx_public_via_ccxt,4.2.14,"ccxt.fetchOpenInterestHistory(symbol,1h,since,limit=100)",success,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/open_interest_history_1h.csv
2026-05-23T08:41:43.407426+00:00,ETHUSDT,ETH-USDT-SWAP,current_open_interest,okx_public_via_ccxt,4.2.14,ccxt.fetchOpenInterest(symbol),success,1,2026-05-23T08:42:08.668000+00:00,2026-05-23T08:42:08.668000+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/current_open_interest.csv
2026-05-23T08:41:43.407426+00:00,FILUSDT,FIL-USDT-SWAP,funding_rate,okx_public_via_ccxt,4.2.14,"ccxt.fetchFundingRateHistory(symbol,since,limit=100)",success,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/funding_history.csv
2026-05-23T08:41:43.407426+00:00,FILUSDT,FIL-USDT-SWAP,open_interest_history,okx_public_via_ccxt,4.2.14,"ccxt.fetchOpenInterestHistory(symbol,1h,since,limit=100)",success,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/open_interest_history_1h.csv
2026-05-23T08:41:43.407426+00:00,FILUSDT,FIL-USDT-SWAP,current_open_interest,okx_public_via_ccxt,4.2.14,ccxt.fetchOpenInterest(symbol),success,1,2026-05-23T08:42:10.806000+00:00,2026-05-23T08:42:10.806000+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/current_open_interest.csv
2026-05-23T08:41:43.407426+00:00,LINKUSDT,LINK-USDT-SWAP,funding_rate,okx_public_via_ccxt,4.2.14,"ccxt.fetchFundingRateHistory(symbol,since,limit=100)",success,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/funding_history.csv
2026-05-23T08:41:43.407426+00:00,LINKUSDT,LINK-USDT-SWAP,open_interest_history,okx_public_via_ccxt,4.2.14,"ccxt.fetchOpenInterestHistory(symbol,1h,since,limit=100)",success,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/open_interest_history_1h.csv
2026-05-23T08:41:43.407426+00:00,LINKUSDT,LINK-USDT-SWAP,current_open_interest,okx_public_via_ccxt,4.2.14,ccxt.fetchOpenInterest(symbol),success,1,2026-05-23T08:42:12.946000+00:00,2026-05-23T08:42:12.946000+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/current_open_interest.csv
2026-05-23T08:41:43.407426+00:00,LTCUSDT,LTC-USDT-SWAP,funding_rate,okx_public_via_ccxt,4.2.14,"ccxt.fetchFundingRateHistory(symbol,since,limit=100)",success,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/funding_history.csv
2026-05-23T08:41:43.407426+00:00,LTCUSDT,LTC-USDT-SWAP,open_interest_history,okx_public_via_ccxt,4.2.14,"ccxt.fetchOpenInterestHistory(symbol,1h,since,limit=100)",success,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/open_interest_history_1h.csv
2026-05-23T08:41:43.407426+00:00,LTCUSDT,LTC-USDT-SWAP,current_open_interest,okx_public_via_ccxt,4.2.14,ccxt.fetchOpenInterest(symbol),success,1,2026-05-23T08:42:15.130000+00:00,2026-05-23T08:42:15.130000+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/current_open_interest.csv
2026-05-23T08:41:43.407426+00:00,NEARUSDT,NEAR-USDT-SWAP,funding_rate,okx_public_via_ccxt,4.2.14,"ccxt.fetchFundingRateHistory(symbol,since,limit=100)",success,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/funding_history.csv
2026-05-23T08:41:43.407426+00:00,NEARUSDT,NEAR-USDT-SWAP,open_interest_history,okx_public_via_ccxt,4.2.14,"ccxt.fetchOpenInterestHistory(symbol,1h,since,limit=100)",success,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/open_interest_history_1h.csv
2026-05-23T08:41:43.407426+00:00,NEARUSDT,NEAR-USDT-SWAP,current_open_interest,okx_public_via_ccxt,4.2.14,ccxt.fetchOpenInterest(symbol),success,1,2026-05-23T08:42:17.252000+00:00,2026-05-23T08:42:17.252000+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/current_open_interest.csv
2026-05-23T08:41:43.407426+00:00,SOLUSDT,SOL-USDT-SWAP,funding_rate,okx_public_via_ccxt,4.2.14,"ccxt.fetchFundingRateHistory(symbol,since,limit=100)",success,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/funding_history.csv
2026-05-23T08:41:43.407426+00:00,SOLUSDT,SOL-USDT-SWAP,open_interest_history,okx_public_via_ccxt,4.2.14,"ccxt.fetchOpenInterestHistory(symbol,1h,since,limit=100)",success,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/open_interest_history_1h.csv
2026-05-23T08:41:43.407426+00:00,SOLUSDT,SOL-USDT-SWAP,current_open_interest,okx_public_via_ccxt,4.2.14,ccxt.fetchOpenInterest(symbol),success,1,2026-05-23T08:42:19.399000+00:00,2026-05-23T08:42:19.399000+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/current_open_interest.csv
2026-05-23T08:41:43.407426+00:00,TRXUSDT,TRX-USDT-SWAP,funding_rate,okx_public_via_ccxt,4.2.14,"ccxt.fetchFundingRateHistory(symbol,since,limit=100)",success,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/funding_history.csv
2026-05-23T08:41:43.407426+00:00,TRXUSDT,TRX-USDT-SWAP,open_interest_history,okx_public_via_ccxt,4.2.14,"ccxt.fetchOpenInterestHistory(symbol,1h,since,limit=100)",success,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/open_interest_history_1h.csv
2026-05-23T08:41:43.407426+00:00,TRXUSDT,TRX-USDT-SWAP,current_open_interest,okx_public_via_ccxt,4.2.14,ccxt.fetchOpenInterest(symbol),success,1,2026-05-23T08:42:22.006000+00:00,2026-05-23T08:42:22.006000+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/current_open_interest.csv
2026-05-23T08:41:43.407426+00:00,UNIUSDT,UNI-USDT-SWAP,funding_rate,okx_public_via_ccxt,4.2.14,"ccxt.fetchFundingRateHistory(symbol,since,limit=100)",success,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/funding_history.csv
2026-05-23T08:41:43.407426+00:00,UNIUSDT,UNI-USDT-SWAP,open_interest_history,okx_public_via_ccxt,4.2.14,"ccxt.fetchOpenInterestHistory(symbol,1h,since,limit=100)",success,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/open_interest_history_1h.csv
2026-05-23T08:41:43.407426+00:00,UNIUSDT,UNI-USDT-SWAP,current_open_interest,okx_public_via_ccxt,4.2.14,ccxt.fetchOpenInterest(symbol),success,1,2026-05-23T08:42:24.347000+00:00,2026-05-23T08:42:24.347000+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/current_open_interest.csv
2026-05-23T08:41:43.407426+00:00,XRPUSDT,XRP-USDT-SWAP,funding_rate,okx_public_via_ccxt,4.2.14,"ccxt.fetchFundingRateHistory(symbol,since,limit=100)",success,279,2026-02-19T16:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/funding_history.csv
2026-05-23T08:41:43.407426+00:00,XRPUSDT,XRP-USDT-SWAP,open_interest_history,okx_public_via_ccxt,4.2.14,"ccxt.fetchOpenInterestHistory(symbol,1h,since,limit=100)",success,148,2026-05-17T05:00:00+00:00,2026-05-23T08:00:00+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/open_interest_history_1h.csv
2026-05-23T08:41:43.407426+00:00,XRPUSDT,XRP-USDT-SWAP,current_open_interest,okx_public_via_ccxt,4.2.14,ccxt.fetchOpenInterest(symbol),success,1,2026-05-23T08:42:26.479000+00:00,2026-05-23T08:42:26.479000+00:00,,/Users/immuhyun/Documents/Coin_Demo/okx-btc-bot/research_output/oi_funding_data_availability_audit_round1_raw/current_open_interest.csv
